term_uuid	lbl	KEEP	gtc_ids	n_sources	n_distinct_src_lbls	distinct_src_lbls	exact_synonyms	definition	classification	sources	REVIEW_ACTION	SPLIT_INTO_LABELS	NOTES
GSD:510a134d-1712-472b-a50e-fea8e0d434f2	2-3 sialyl-lacto-N-tetraose	TRUE	G21066IE	4	2	2-3 Sialyl-Lacto-N-Tetraose; 2-3 sialyl-lacto-N-tetraose				SRC:GLYCOEPITOPE|2-3 Sialyl-Lacto-N-Tetraose; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|2-3 sialyl-lacto-N-tetraose; SRC:PUBDICT_GLYCAN_MOTIF|2-3 Sialyl-Lacto-N-Tetraose; SRC:PUBDICT_GLYCOSMOS|2-3 Sialyl-Lacto-N-Tetraose			
GSD:91dd3f7a-c0ee-40d4-b499-630f1967b1ed	2-6 sialyl i-Lewis x	TRUE	G93855LZ	5	3	2-6 Sialyl i-Lewis x; 2-6 sialyl i-Lewis x; 2-6 Sialyl Lewis x				SRC:GLYCOEPITOPE|2-6 Sialyl i-Lewis x; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|2-6 sialyl i-Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|2-6 Sialyl Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|2-6 Sialyl i-Lewis x; SRC:PUBDICT_GLYCOSMOS|2-6 Sialyl i-Lewis x			
GSD:3f9ba86a-adb1-418c-92fd-6ff0689a13c1	2-6 Sialyl-LacNAc-Gal	TRUE	G03509EL	3	1	2-6 Sialyl-LacNAc-Gal				SRC:GLYCOEPITOPE|2-6 Sialyl-LacNAc-Gal; SRC:PUBDICT_GLYCAN_MOTIF|2-6 Sialyl-LacNAc-Gal; SRC:PUBDICT_GLYCOSMOS|2-6 Sialyl-LacNAc-Gal			
GSD:996dbe5c-9f1d-4621-91b4-40768552f7de	2-6 sialylparagloboside	TRUE	G83513YI	6	3	2-6 Sialylparagloboside; 2-6 sialylparagloboside; Sialylparagloboside	NeuAca2-6PG; IV6(NeuAc)nLc4Cer		Glycosphingolipid	SRC:GLYCOEPITOPE|2-6 Sialylparagloboside; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|2-6 sialylparagloboside; SRC:PUBDICT_GLYCAN_MOTIF|2-6 Sialylparagloboside; SRC:PUBDICT_GLYCAN_MOTIF|Sialylparagloboside; SRC:PUBDICT_GLYCOSMOS|2-6 Sialylparagloboside; SRC:SUGARBIND|Sialylparagloboside			
GSD:3b67a794-e241-56bb-b993-661b1a47f3ef	2-6-branch of complex N-glycans	TRUE	G56868BH	2	1	2-6-branch of complex N-glycans	2-6-branch		Named Functional Motif	SRC:EOG_VARKI_4E|2-6-branch of complex N-glycans; SRC:TERMS_GLYGEN_CURATORS|2-6-branch of complex N-glycans			
GSD:9d4213ac-8c01-436a-82fc-31f84645bf00	2-9,2-6 disialyllactosylceramide	TRUE	G30187JM	5	3	2-9, 2-6 Disialyllactosylceramide; 2-9,2-6 Disialyllactosylceramide; 2-9,2-6 disialyllactosylceramide				SRC:GLYCOEPITOPE|2-9,2-6 Disialyllactosylceramide; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|2-9,2-6 disialyllactosylceramide; SRC:PUBDICT_GLYCAN_MOTIF|2-9, 2-6 Disialyllactosylceramide; SRC:PUBDICT_GLYCAN_MOTIF|2-9,2-6 Disialyllactosylceramide; SRC:PUBDICT_GLYCOSMOS|2-9,2-6 Disialyllactosylceramide			
GSD:cf144e2c-da64-4f46-9261-f1a6bccec2b0	2-Deoxyglucose	TRUE		1	1	2-Deoxyglucose				SRC:PUBDICT_GLYCONAVI_NAME|2-Deoxyglucose			
GSD:19b2bec1-9924-443f-a920-3d3fe6271ad6	2-Deoxyribose	TRUE		1	1	2-Deoxyribose				SRC:PUBDICT_GLYCONAVI_NAME|2-Deoxyribose			
GSD:68240b82-aec7-43a6-9f7c-7e9ef1c7e2cb	2-fucosyl GD1b	TRUE	G67383AR; G93694YU	6	2	2-fucosyl GD1b; 2-Fucosyl-GD1b		(2S,4S,5R,6R)-5-Acetamido-6-[(1S,2R)-2-[(2S,4S,5R,6R)-5-acetamido-2-carboxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl]oxy-1,3-dihydroxypropyl]-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethy...	GlycoMotif GGM motif	SRC:CUMMINGS|2-Fucosyl-GD1b; SRC:GLYCOMOTIF_CCRC|2-Fucosyl-GD1b; SRC:GLYCOMOTIF_GDV|2-Fucosyl-GD1b; SRC:GLYCOMOTIF_GGM|2-Fucosyl-GD1b; SRC:GSD_GLYGEN_V0|2-fucosyl GD1b; SRC:PUBDICT_GLYCAN_MOTIF|2-Fucosyl-GD1b			
GSD:e2e22b19-83c1-4c8b-999d-fe2fdff4941f	2-fucosyl GM1	TRUE	G56526JU; G91532KA	13	4	2-fucosyl GM1; 2-Fucosyl-GM1; Fucosyl GM1; fucosyl GM1	fucosyl GM1	(2S,4S,5R,6R)-5-Acetamido-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan...	Ganglioside sugars	SRC:BIOOLIGO|Fucosyl GM1; SRC:CUMMINGS|2-Fucosyl-GM1; SRC:GLYCOEPITOPE|Fucosyl GM1; SRC:GLYCOMOTIF_CCRC|2-Fucosyl-GM1; SRC:GLYCOMOTIF_GDV|2-Fucosyl-GM1; SRC:GLYCOMOTIF_GGM|2-Fucosyl-GM1; SRC:GSD_GLYGEN_V0|2-fucosyl GM1; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|fucosyl GM1; SRC:PUBDICT_GLYCAN_MOTIF|2-Fucosyl-GM1; SRC:PUBDICT_GLYCAN_MOTIF|Fucosyl GM1; SRC:PUBDICT_GLYCONAVI_ABBREV|Fucosyl GM1; SRC:PUBDICT_GLYCONAVI_NAME|Fucosyl GM1; SRC:PUBDICT_GLYCOSMOS|Fucosyl GM1			
GSD:fc6555c3-b28b-449a-a73d-2bff9b83b386	2′-F-Di-LN	TRUE		1	1	2′-F-Di-LN			Miscellaneous (LDN-related oligosaccharides)	SRC:BIOOLIGO|2′-F-Di-LN			
GSD:2e12fd00-9fe3-4169-a058-bd25321cb9fc	2′-fluorine-3′-sialyl-N-acetyllactosamine	TRUE	G47812NS; G62593IS	2	2	2'-fluorine-3'-sialyl-N-acetyllactosamine; 2′-fluorine-3′-sialyl-N-acetyllactosamine	2′F-3′SiaLacNAc(1-3); 2′F-3′SiaLacNAc(1-4)			SRC:PUBDICT_GLYCAN_MOTIF|2'-fluorine-3'-sialyl-N-acetyllactosamine; SRC:SUGARBIND|2′-fluorine-3′-sialyl-N-acetyllactosamine			
GSD:10ae2b99-1d75-5290-a777-47b7b1fcaf32	2′-fucosyllactose	TRUE		1	1	2′-fucosyllactose			Disaccharide	SRC:EOG_VARKI_4E|2′-fucosyllactose			
GSD:a357412d-d20c-41b8-bec8-943295031c56	3'-sulfo Lewis a	TRUE	G78706CK; G14395NH; G36845IZ	15	9	3'-Sulfo Lea; 3'-Sulfo Lewis a; 3'-sulfo Lewis a; 3'-Sulfo-Lewis a; 3-Sulfo-Lewis a (30-Sulfo Lewis a); 30-Sulfo-Lewis a (30-Sulfo Lea); 3′ sulpho Lewis A; 3′-Sulfo-Lewis a; 3′-sulpho Lewis A [3S-Gal-3(Fuc)-GlcNAc]	3'-Sulfo-Lea; SuLe(a); 3'-sulpho-Le(a); 3-O-sulfo-Le(A); 3'-Sulfo Le^a; 3'-Sulfo Lea; 3'-Sulfo Lewis a; 3′-Sulfo Lea	A branched amino trisaccharide consisting of N-acetylglucosamine having a fucosyl residue attached at the 4-position via an α-linkage and a 3-sulfated galactosyl residue attached at the 3-position via a β-linkage.[CHEBI:65149]	Fucosylated oligosaccharides	SRC:BIOOLIGO|3′ sulpho Lewis A; SRC:BIOOLIGO|3′-sulpho Lewis A [3S-Gal-3(Fuc)-GlcNAc]; SRC:CUMMINGS|3′-Sulfo-Lewis a; SRC:GLYCOEPITOPE|3'-Sulfo Lewis a; SRC:GLYCOMOTIF_CCRC|3'-Sulfo-Lewis a; SRC:GLYCOMOTIF_GDV|3-Sulfo-Lewis a (30-Sulfo Lewis a); SRC:GLYCOMOTIF_GGM|3'-Sulfo-Lewis a; SRC:GSD_GLYGEN_V0|3'-sulfo Lewis a; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|3'-sulfo Lewis a; SRC:PUBDICT_GLYCAN_MOTIF|3'-Sulfo Lea; SRC:PUBDICT_GLYCAN_MOTIF|3'-Sulfo Lewis a; SRC:PUBDICT_GLYCAN_MOTIF|3'-Sulfo-Lewis a; SRC:PUBDICT_GLYCAN_MOTIF|3-Sulfo-Lewis a (30-Sulfo Lewis a); SRC:PUBDICT_GLYCAN_MOTIF|30-Sulfo-Lewis a (30-Sulfo Lea); SRC:PUBDICT_GLYCOSMOS|3'-Sulfo Lewis a			
GSD:39e7e2f5-e7d7-46b9-ae09-650bbcb231f8	3'-Sulfo Lewis x	TRUE	G51907PX; G12295TB; G26555CS	5	4	3'-Sulfo Lewis x; 3'-Sulfo-Lewis x; 30-Sulfo-Lewis x (30-sulfo Lex)); 3′-Sulfo-Lewis x	3′-sulfo Lex; 3'-Sulfo Lewis x; 3'-sulfo Lex; 3'-sulfo Le^x		GlycoMotif GGM motif	SRC:CUMMINGS|3′-Sulfo-Lewis x; SRC:GLYCOEPITOPE|3'-Sulfo Lewis x; SRC:GLYCOMOTIF_CCRC|3'-Sulfo-Lewis x; SRC:GLYCOMOTIF_GGM|3'-Sulfo-Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|30-Sulfo-Lewis x (30-sulfo Lex))			
GSD:3c0d59b6-d558-45d7-998e-ea6531a58295	3'-sulfo Lewis X	TRUE	G12295TB; G26555CS	10	8	3'-Sulfo Lewis x; 3'-sulfo Lewis X; 3'-sulfo Lewis x; 3'-sulfo Lex; 3'-Sulfo-Lewis x; 3-Sulfo-Lewis x (3-sulfo LewisX); 3′ sulfo Lewis X [3S-Gal-(Fuc)-GlcNAc]; 3′-su-Lewis x	3'-sulfo-Le(x); 3'-Sulfo Lewis x; 3'-sulfo Le^x; 3'-sulfo Lex	An amino trisaccharide that consists of N-acetyl-β-D-glucosamine having an α-L-fucosyl residue attached at position 3 and a 3-sulfated β-D-galactosyl residue attached at position 4; β-D-Galp3S-(1→4)-[α-L-Fucp-(1→3)]-D-GlcpNAc in which the configuration at the anomeric centre of the reducing-end residue is β. [CHEBI:65171]	Lewis antigens	SRC:BIOOLIGO|3′ sulfo Lewis X [3S-Gal-(Fuc)-GlcNAc]; SRC:BIOOLIGO|3′-su-Lewis x; SRC:GLYCOMOTIF_GDV|3-Sulfo-Lewis x (3-sulfo LewisX); SRC:GSD_GLYGEN_V0|3'-sulfo Lewis X; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|3'-sulfo Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|3'-Sulfo Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|3'-Sulfo-Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|3'-sulfo Lex; SRC:PUBDICT_GLYCAN_MOTIF|3-Sulfo-Lewis x (3-sulfo LewisX); SRC:PUBDICT_GLYCOSMOS|3'-Sulfo Lewis x			
GSD:bbf32d7b-5489-45cb-8bfb-4cd871452fe7	3'GN type1	TRUE	G17961XM	3	2	3'GN type1; Type 1 LN3			GlycoMotif GGM motif	SRC:GLYCOMOTIF_GDV|Type 1 LN3; SRC:GLYCOMOTIF_GGM|Type 1 LN3; SRC:PUBDICT_GLYCONAVI_ABBREV|3'GN type1			
GSD:f898955b-c4dc-4fde-962e-1129551106c1	3'GN type1	TRUE		1	1	3'GN type1				SRC:PUBDICT_GLYCONAVI_NAME|3'GN type1			
GSD:4e3ab171-f09f-45a7-9646-9acce1a64587	3'GN-Di-LN	TRUE		3	2	3'GN-Di-LN; 3'S-Di-LN				SRC:PUBDICT_GLYCONAVI_ABBREV|3'GN-Di-LN; SRC:PUBDICT_GLYCONAVI_ABBREV|3'S-Di-LN; SRC:PUBDICT_GLYCONAVI_NAME|3'GN-Di-LN			
GSD:675ffce8-7f72-4ebb-a95c-365d00d3029f	3'S-Di-LeA	TRUE		9	5	3'S-Di-LeA; 3'S-Di-Lec; 3'S-Di-Lex; Di-Lec; Di-Lex				SRC:PUBDICT_GLYCONAVI_ABBREV|3'S-Di-LeA; SRC:PUBDICT_GLYCONAVI_ABBREV|3'S-Di-Lec; SRC:PUBDICT_GLYCONAVI_ABBREV|3'S-Di-Lex; SRC:PUBDICT_GLYCONAVI_ABBREV|Di-Lec; SRC:PUBDICT_GLYCONAVI_NAME|3'S-Di-LeA; SRC:PUBDICT_GLYCONAVI_NAME|3'S-Di-Lec; SRC:PUBDICT_GLYCONAVI_NAME|3'S-Di-Lex; SRC:PUBDICT_GLYCONAVI_NAME|Di-Lec; SRC:PUBDICT_GLYCONAVI_NAME|Di-Lex			
GSD:4c3457af-58a9-4495-8649-59b807675824	3'S-Di-LN	TRUE		1	1	3'S-Di-LN				SRC:PUBDICT_GLYCONAVI_NAME|3'S-Di-LN			
GSD:d7c94252-d7ca-4c23-a64f-90a86fb0b912	3'SL (Gc)	TRUE		1	1	3'SL (Gc)				SRC:PUBDICT_GLYCONAVI_NAME|3'SL (Gc)			
GSD:d44b84c0-36a9-4fee-a767-df00557f71bf	3'SLDN	TRUE		2	1	3'SLDN				SRC:PUBDICT_GLYCONAVI_ABBREV|3'SLDN; SRC:PUBDICT_GLYCONAVI_NAME|3'SLDN			
GSD:db268ba8-b80a-44b9-a0b7-6f2ed08391f9	3'SLeA-LeX	TRUE		2	1	3'SLeA-LeX				SRC:PUBDICT_GLYCONAVI_ABBREV|3'SLeA-LeX; SRC:PUBDICT_GLYCONAVI_NAME|3'SLeA-LeX			
GSD:e1c87cb9-d48c-4711-a6d1-83636c454642	3'SLec	TRUE		2	1	3'SLec				SRC:PUBDICT_GLYCONAVI_ABBREV|3'SLec; SRC:PUBDICT_GLYCONAVI_NAME|3'SLec			
GSD:c06af4ca-10c0-4b20-ae01-5debfc0e975d	3'SLec (Gc)	TRUE		1	1	3'SLec (Gc)				SRC:PUBDICT_GLYCONAVI_NAME|3'SLec (Gc)			
GSD:412d4685-9dc1-4f93-86a9-7ad994255a52	3'SLex	TRUE		2	1	3'SLex				SRC:PUBDICT_GLYCONAVI_ABBREV|3'SLex; SRC:PUBDICT_GLYCONAVI_NAME|3'SLex			
GSD:3576070d-62a1-4fd1-b501-4d0d01709949	3'SLN	TRUE		2	1	3'SLN				SRC:PUBDICT_GLYCONAVI_ABBREV|3'SLN; SRC:PUBDICT_GLYCONAVI_NAME|3'SLN			
GSD:216a9cb6-5390-4bae-8eb0-b140bdb685f2	3'SLN (Gc)	TRUE		5	3	3'SLecLN; 3'SLN (Gc); 3'SLN-Lec				SRC:PUBDICT_GLYCONAVI_ABBREV|3'SLN-Lec; SRC:PUBDICT_GLYCONAVI_ABBREV|3'SLecLN; SRC:PUBDICT_GLYCONAVI_NAME|3'SLN (Gc); SRC:PUBDICT_GLYCONAVI_NAME|3'SLN-Lec; SRC:PUBDICT_GLYCONAVI_NAME|3'SLecLN			
GSD:599a7d57-03ab-4993-a614-e18dfff44179	3'STri-LN	TRUE		2	1	3'STri-LN				SRC:PUBDICT_GLYCONAVI_ABBREV|3'STri-LN; SRC:PUBDICT_GLYCONAVI_NAME|3'STri-LN			
GSD:96f37e57-2787-453a-af43-b94005ca5a79	3,6-(LacNAc)2Tn	TRUE		1	1	3,6-(LacNAc)2Tn			Miscellaneous (TN-related oligosaccharides)	SRC:BIOOLIGO|3,6-(LacNAc)2Tn			
GSD:45ab87ac-cb21-4a9a-b2b0-beca9b93bfca	3-6-STn	TRUE		1	1	3-6-STn			Miscellaneous (TN-related oligosaccharides)	SRC:BIOOLIGO|3-6-STn			
GSD:1bff85f7-d1e7-4531-b5b5-63a980aeb28a	3-Fucosylated Blood group A tetraose	TRUE		1	1	3-Fucosylated Blood group A tetraose			Fucosylated oligosaccharides (3 Fucosyllactose core)	SRC:BIOOLIGO|3-Fucosylated Blood group A tetraose			
GSD:eef38347-96be-41d1-8746-e14126ef45c9	3-Fucosyllactose	TRUE		1	1	3-Fucosyllactose			Fucosylated oligosaccharides (Lacto-Series)	SRC:BIOOLIGO|3-Fucosyllactose			
GSD:1a1850ec-7d8b-46b1-b6cf-5e6da37b6513	3-LacNAc-Tn	TRUE		1	1	3-LacNAc-Tn			Miscellaneous (TN-related oligosaccharides)	SRC:BIOOLIGO|3-LacNAc-Tn			
GSD:5a262e8e-7861-5764-aa44-fdfb05a1e92b	3-O-sulfated galactose	TRUE	G40843KY	5	3	3-O-sulfated galactose; Galactose 3-O-Sulfate; galactose 3-O-sulfate	3-O-sulfated Gal		Monosaccharide	SRC:EOG_VARKI_4E|3-O-sulfated galactose; SRC:GLYCOEPITOPE|Galactose 3-O-Sulfate; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|galactose 3-O-sulfate; SRC:PUBDICT_GLYCAN_MOTIF|Galactose 3-O-Sulfate; SRC:PUBDICT_GLYCOSMOS|Galactose 3-O-Sulfate			
GSD:f0e62919-4120-5fd2-af20-33525dfb29a9	3-O-sulfated GlcNS6S	TRUE		1	1	3-O-sulfated GlcNS6S			Polysaccharide Repeating Unit	SRC:EOG_VARKI_4E|3-O-sulfated GlcNS6S			
GSD:5e72cf7d-2a6a-44be-a29f-bcf3bf1260ba	3-sialyl LN (type 2)	TRUE	G10203DW; G00065MO; G59168YE	12	8	3'-sialyl-N-acetyllactosamine; 3-sialyl LN (type 2); 3-Sialyl-LN; 3-Sialyl-LN (type 2); 3-Sialyl-LN type 2 [Sialylated triose type 2, 3′-SLN]; 3-SLDN; 3′-SiaDi-LN; 3′-sialyl-N-acetyllactosamine	3′SLN; 3′SiaLacNAc(1-4); 1-3) (3′SLN; 3′SiaLacNAc(1-3); type 2	A linear amino trisaccharide consisting of α-neuraminyl, β-D-galactosyl and N-acetyl-D-glucosamine residues linked in a (2→3) and (1→4) sequence.[CHEBI:52472]	Lewis antigens	SRC:BIOOLIGO|3-SLDN; SRC:BIOOLIGO|3-Sialyl-LN type 2 [Sialylated triose type 2, 3′-SLN]; SRC:BIOOLIGO|3′-SiaDi-LN; SRC:CUMMINGS|3-Sialyl-LN; SRC:GLYCOMOTIF_CCRC|3-Sialyl-LN; SRC:GLYCOMOTIF_GDV|3-Sialyl-LN (type 2); SRC:GLYCOMOTIF_GGM|3-Sialyl-LN (type 2); SRC:GSD_GLYGEN_V0|3-sialyl LN (type 2); SRC:PUBDICT_GLYCAN_MOTIF|3'-sialyl-N-acetyllactosamine; SRC:PUBDICT_GLYCAN_MOTIF|3-Sialyl-LN; SRC:PUBDICT_GLYCAN_MOTIF|3-Sialyl-LN (type 2); SRC:SUGARBIND|3′-sialyl-N-acetyllactosamine			
GSD:d7316ec4-0960-4c17-b2e5-a9fa6a480bf3	3S-Gal-4(Fuc)-GlcNAc	TRUE		1	1	3S-Gal-4(Fuc)-GlcNAc			Fucosylated oligosaccharides	SRC:BIOOLIGO|3S-Gal-4(Fuc)-GlcNAc			
GSD:5d1d3c28-5b3b-475d-bd4e-ae6105c021e0	3′-KDN-Lewis c	TRUE		3	2	3'-KDNLec; 3′-KDN-Lewis c			Miscellaneous	SRC:BIOOLIGO|3′-KDN-Lewis c; SRC:PUBDICT_GLYCONAVI_ABBREV|3'-KDNLec; SRC:PUBDICT_GLYCONAVI_NAME|3'-KDNLec			
GSD:2fe7d0f3-b047-4dd5-bbb7-3ae722755e00	3′-KDNLN	TRUE		3	2	3'KDNLN; 3′-KDNLN			Miscellaneous	SRC:BIOOLIGO|3′-KDNLN; SRC:PUBDICT_GLYCONAVI_ABBREV|3'KDNLN; SRC:PUBDICT_GLYCONAVI_NAME|3'KDNLN			
GSD:dac228dc-2f6d-4a32-af74-2c43b63055e5	4′ sulfo Lewis X [4S-Gal-(Fuc)-GlcNAc]	TRUE		1	1	4′ sulfo Lewis X [4S-Gal-(Fuc)-GlcNAc]			Miscellaneous (Lewis X-related oligosaccharides)	SRC:BIOOLIGO|4′ sulfo Lewis X [4S-Gal-(Fuc)-GlcNAc]			
GSD:07af07da-8628-47ba-b240-1010c9296737	4′-sulfated LDN	TRUE		1	1	4′-sulfated LDN				SRC:CUMMINGS|4′-sulfated LDN			
GSD:6e033c8a-f202-509b-8b71-6eef358777b2	6'-Sulfo sialyl Lewis X	TRUE	G00672PE; G23322RK; G77659VW; G80722US	18	10	6'-Sulfo Sialyl Lewis x; 6'-Sulfo sialyl Lewis X; 6'-sulfo sialyl Lewis X; 6'-Sulfo-sialyl Lewis x; 6-sulfo sialyl Lewis X; 6-Sulfo-sialyl Lewis x; 6-Sulfo-sialyl Lewis x (6-sulfo SLewis x); 6′-Sulfo-sialyl Lewis x; 6′-sulfo-sialyl Lewis x; Sialyl 6-Sulfo Lewis x	6'-sulfated sialyl Lewis x-; 6'-sulfo-sLe(x); Su-SaiLex; Su-Slex; 6'-Sulfo-sialyl Lewis x; sialyl-6′-sulfo-Lex; 6′-sulfo-SLex; Sialyl-6′-sulfo-Lewis x; 6′-sulfo SLex; 6-sulfo SLex; 6'-Sulfo Sialyl Lewis x; 6'-sulfo SLex; 6'-sulfo SLe^x	A branched amino tetrasaccharide comprised of a trisaccharide chain of N-acetyl-α-neuraminic acid, 6-O-sulfo-β-D-glactose and N-acetyl-β-D-glucosamine residues linked sequentially (2→3) and (1→4), to the GlcNAC residue of which is also linked (1→3) an α-L-fucose residue.[CHEBI:71558]	Named Functional Motif	SRC:CUMMINGS|6-Sulfo-sialyl Lewis x; SRC:CUMMINGS|6′-Sulfo-sialyl Lewis x; SRC:EOG_VARKI_4E|6′-sulfo-sialyl Lewis x; SRC:GLYCOEPITOPE|6'-Sulfo Sialyl Lewis x; SRC:GLYCOEPITOPE|Sialyl 6-Sulfo Lewis x; SRC:GLYCOMOTIF_CCRC|6'-Sulfo-sialyl Lewis x; SRC:GLYCOMOTIF_CCRC|6-Sulfo-sialyl Lewis x; SRC:GLYCOMOTIF_GDV|6-Sulfo-sialyl Lewis x (6-sulfo SLewis x); SRC:GLYCOMOTIF_GGM|6'-Sulfo-sialyl Lewis x; SRC:GSD_GLYGEN_V0|6'-Sulfo sialyl Lewis X; SRC:PUBDICTIONARIES-GLYCAN-IMAGE|6'-sulfo sialyl Lewis X; SRC:PUBDICT_GLYCAN_MOTIF|6'-Sulfo Sialyl Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|6'-Sulfo-sialyl Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|6-Sulfo-sialyl Lewis x; SRC:PUBDICT_GLYCAN_MOTIF|6-Sulfo-sialyl Lewis x (6-sulfo SLewis x); SRC:PUBDICT_GLYCAN_MOTIF|6-sulfo sialyl Lewis X; SRC:PUBDICT_GLYCAN_MOTIF|Sialyl 6-Sulfo Lewis x; SRC:PUBDICT_GLYCOSMOS|6'-Sulfo Sialyl Lewis x			
GSD:eb0564cc-d40c-4a62-9fe9-55eb899e43f3	6'SL	TRUE		2	1	6'SL				SRC:PUBDICT_GLYCONAVI_ABBREV|6'SL; SRC:PUBDICT_GLYCONAVI_NAME|6'SL			
