term_uuid	lbl	class_code	class_name	tier	method	reason	gtc_ids	n_sources
GSD:667030ec-2d62-5573-9fa1-f4482afc0782	alkylacylphosphatidylinositol-anchored glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:62c19a81-2859-5cac-8aae-c9a9d6da5eb4	amylopectin	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:d742c56c-350f-5f5e-bf18-d4ed7d085155	apiogalacturonan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:687c2e68-ec7d-54ca-a4ee-2996b7df7ebb	arabinoglucuronoxylan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:44424bf0-a3e2-524d-9b57-0879a7c56c2b	arthroseries glycosphingolipids	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:70869a6d-1921-5736-8f3a-af3e124c381a	a-series gangliosides	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:8ce1f4e6-8cbe-5167-8ece-a1cfc850d3a5	asialo-GM1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G21856LC; G00407UJ	13
GSD:a7868da4-a6c2-4825-97b9-c86700b1c213	GA1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G21856LC	3
GSD:7548e42d-e075-5fef-a148-a06913542f40	biantennary complex-type N-glycan	2C	Composite descriptive phrase	2	curator	Curator-assigned classification (ground truth)		2
GSD:abc37e9a-7363-5440-87f1-1e620ed70a9a	biantennary N-glycan	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		2
GSD:c453bc0a-a177-5fa0-b20d-23636ce0200e	bisected complex-type N-glycan	2C	Composite descriptive phrase	2	curator	Curator-assigned classification (ground truth)		1
GSD:69988744-7296-5f26-8c2b-7a2cf6cd3ad3	bisecting GlcNAc	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		2
GSD:404bf970-2534-5f2f-86e1-746f0302e08a	bisecting α1-4GlcNAc	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:7ec6f782-4bc2-57ae-a15d-27c73f9a14f7	blood group A determinant	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00066MO	2
GSD:b584b143-e0c4-5b8f-8523-f8b53ea2cfbe	blood group antigens	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:79a67483-e981-5415-9ec5-1725243f3795	blood group B determinant	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:33654432-0fbb-5d63-964b-04779c68d99e	blood group H determinant	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:5e28351b-8816-5e00-8aeb-cdc7a43e3eb9	branched N-glycan	2B	Single descriptor phrase	2	curator	Curator-assigned classification (ground truth)		1
GSD:e21a336f-6519-5fe7-9429-bcfa0d13f084	b-series gangliosides	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:1083d84a-bf43-50ba-a94d-bf349b194916	callose	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:1631d080-5dbb-5950-a0da-474aeb12d32d	cellobiose	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)	G55560AP	4
GSD:c7381b2b-a6b8-53b0-9ccd-02d2e5f775f7	cellulose	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)	G00025MO	2
GSD:87cba7f2-dfd0-5338-a6bb-0100197ad8ad	chitin	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)	G97099AY	3
GSD:8756b00b-9dcc-514c-a965-d339f8ec93b2	chitobiose	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)		1
GSD:c0561c11-1067-5e5a-ba4b-43ad894ccf41	chondroitin	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G43702JT; G00018MO	6
GSD:0a5b0166-1241-5a4a-a0d8-d7d1970792c6	chondroitin sulfate A	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		2
GSD:37210836-4c03-58ec-ae10-befc14eacc9e	chondroitin sulfate B	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		2
GSD:0d5ea83b-21ec-59e0-a01e-35fb322984f4	chondroitin sulfate C	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		2
GSD:3d250b8c-6c0f-5d52-9fd3-1a58a7660e1d	chondroitin sulfate	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00018MO	3
GSD:12a331e1-df46-5810-a2c0-83a4675298ce	C-mannose	2B	Single descriptor phrase	2	curator	Curator-assigned classification (ground truth)		1
GSD:83407b75-f351-5941-a80f-f5f3e662a358	complex ganglioside	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:01252e39-1f93-59e0-a64c-0655bfa4d620	complex glycolipid	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:ebb26565-ed41-5f38-b9a5-a436515b2e86	complex O-glycan	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:8898cfbc-b227-5381-aa3b-2d6e8f5c855c	complex-type N-glycan	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		2
GSD:13c3b217-f4d2-5e5f-9349-c2754539e341	sialylated complex-type N-glycan	2C	Composite descriptive phrase	2	curator	Curator-assigned classification (ground truth)		2
GSD:d30c0796-5386-5d5a-b374-96d79431db98	core 1 O-glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00031MO	2
GSD:84263c50-3256-5701-b917-3856baedd01f	core 2 O-glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00033MO	2
GSD:0bdf4f51-9378-5d0c-a017-220cfd707bbe	core 3 O-glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00035MO	2
GSD:380c3655-bfc9-5931-977b-294df335f2c3	core 4 O-glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00037MO	2
GSD:50d1be21-660a-5e10-a72d-f832009f71db	core fucose	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G78059CC	2
GSD:d8e7f221-faf6-5ef2-8636-480671b984df	core M1 O-mannose glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:9a0d5141-888d-51f3-b8b5-30b5a6456aa8	core M2 O-mannose glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:67c80166-8447-5f77-b32c-17101f58e923	core M3 O-mannose glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:ad4eef06-adc3-5576-ab88-d97ecabba171	c-series gangliosides	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:812d8fe6-24aa-5c10-afab-b0f3523c1d49	cyclic β1-2 glucan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:0ef0d5e3-6dad-54e6-9bde-79eec7ce6000	dermatan sulfate	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00019MO	4
GSD:1fb3e01a-50ec-56fb-ab50-f6f757d82d96	dextran	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:6f1bee5a-4792-5ca8-b631-f32c4052b8c5	di-N-acetylbacillosamine	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)		1
GSD:2c92929a-4f34-5166-a815-b20e3decb896	disialyl Lewis a	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G93400AK	6
GSD:fc360443-5e52-5286-9023-5a450d05986c	extended core-1 O-glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:d5eb4aa0-0881-5a7f-8b55-4027c9e0d7df	fructan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:d437d34e-537b-57ce-8704-433177d46d46	fucoidan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:48b33e4c-bedf-5af1-ba2a-8730ba59a999	fucosylated glycan	2B	Single descriptor phrase	2	curator	Curator-assigned classification (ground truth)		1
GSD:513ef5dc-3e7b-5d21-9757-fd24642c2e46	fucosylated N-glycan	2B	Single descriptor phrase	2	curator	Curator-assigned classification (ground truth)		2
GSD:04968aef-3b4e-5f07-8352-79ac445ab345	Fucα1-2Gal	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:bf0e78e7-7656-5f66-8677-a96d59743cfe	G0	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G36191CD	2
GSD:a2c78d58-1d1e-5488-972e-60788bd92662	galabiose	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)	G62763GO	5
GSD:672c9b68-8cc9-5b73-a41f-4f1912dbe84b	galactan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:a92a3278-eedb-5329-b627-fe354524b4f1	galactolipid	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:1d4660e2-b1f4-5dfd-8daa-7b23494e4747	galactomannan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)	G93424OB	5
GSD:0a1fb874-2e4b-58f7-8fd4-4bb308613cb0	galactose-terminated N-glycan branch	2C	Composite descriptive phrase	2	curator	Curator-assigned classification (ground truth)		1
GSD:7829c0b5-3df6-5e54-baad-fb4c64380426	galactosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G65889KE	10
GSD:4dfd069b-a6b4-53af-96b3-b6464421b392	GalNAcα1-3Gal	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:f38bd421-3733-5f59-a1e6-c07ff71a9298	GalNAcα1-4GalNAcα1-3-diNAcBac	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:dc576e33-db61-5a15-beff-20d06f37e944	GalNAcα1-4GalNAcα1-4	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:e20326f3-93ec-5b08-83c8-4b0fbc04ef9c	Galα1-3GalNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:395a4112-0689-5bb3-92fc-a60b2e0cb3a3	Galα1-3Galα	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:b9bc662d-a00d-52c9-8b01-e6483eb298f2	Galα1-3Galβ1-4GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:69fbdafc-9293-50a2-8401-c788fa54b2fd	Galα1-3Glcα	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:e1fbb8c1-c50d-59a7-97f0-870d83b0601c	Galβ1-3GalNAcβ1-4Gal	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:5363637f-5a19-5108-ae9d-02b3e1d7003e	Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:cac8e53d-b210-51f2-8b22-4d0f32b77326	ganglio-series glycosphingolipid	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:7a810b44-8bb6-56ba-b76c-339d66b301d7	ganglioside	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:20e88f5c-c2b3-59f6-be89-7e0e58465d7c	Gb3	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00059MO	5
GSD:94c78688-31d6-41ea-b885-c811f945864d	Pk antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00059MO; G06000DZ	11
GSD:2721b555-911d-4079-a026-e761a752deb8	CD77	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00059MO	2
GSD:b137039e-0172-5d89-8fa3-68775f8d4016	Gb4	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00061MO	6
GSD:cf106ff8-f5cf-494a-a7bd-47029cde0d2b	P antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00061MO	5
GSD:ce08ddcb-1567-5caa-9ad2-9c2209277bcc	GD1a	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G46677TE; G45714BQ; G13258LA; G69277LC	12
GSD:e4e3df0d-c881-5a91-97fc-fbe47b595923	GD1b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G37184KW; G97612UN	14
GSD:d0c0ead3-30f7-5dbf-97a0-dc0aaf2624c4	GD1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G81983KG; G24638PB	6
GSD:19d06add-13da-49d3-9c6c-55cec93a8981	Gg4	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G21856LC	3
GSD:cc06bb89-924b-5d6d-a843-baca062dd6a4	Glc3Man9GlcNAc2	2E	Composition formula	2	curator	Curator-assigned classification (ground truth)		1
GSD:297e2bb5-a492-5cd7-bda2-0b6e10d91868	GlcA-GlcNAc repeating unit	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:a5eb4dff-4b85-50db-bbd6-af4b55393241	GlcAβ1-3GalNAc repeating unit	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:a2d09e61-b751-50c2-be00-9be4c20148f3	GlcAβ1-3Galβ	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:6c9a6faf-fad0-566d-ad32-8d6d1bd04f1f	GlcNAc-P-Man phosphodiester	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:909439ef-1f1a-5c74-9e36-56cca3f8b024	GlcNAcβ1-2Manα1-3	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:333cf741-734c-5f79-929e-7aba2473fd6d	GlcNAcβ1-2Manα1-6	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:05a85523-3746-5e27-b26c-b6be92baa9ce	GlcNAcβ1-4Gal	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:a4024824-8ebd-52bb-bd77-3d2bfc7428bb	GlcNAcβ1-4GlcNAc	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:5534ac2a-997a-55ae-a2ac-0ecef58af642	GlcNAcβ1-4Glc-Cer	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:b6520151-5833-5a29-8b9e-5366ad982946	GlcNAcβ1-4Man	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:6348b8f8-fc3a-5bf8-a237-9e1c4b573f2d	Glcα1-4Glc repeating unit	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:4f0d6449-4ecc-5890-be80-3712fd55caad	Glcα1-phosphate-Man	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:51a57210-2ae6-5077-808c-5b752b914b6b	Glcβ1-3Fucα-O-	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:ee15a6e1-4986-5710-b1f7-04d74d0ebfba	globo-series glycospingolipids	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:f103e2fb-58a5-5b16-80c5-8e27ca3c0536	glucan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:2312c43c-2cd4-563f-b74c-b95ee7b58642	glucomannan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)	G88924MD	5
GSD:3d06d77f-0323-508b-8678-7e86c86b85c4	glucosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G71142DF	6
GSD:77ceee42-d16d-590b-ae3e-94e617326342	glucuronoarabinoxylan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)	G54315VV	2
GSD:68812b8d-f8a2-5064-86e7-b8389b0069d5	glucuronoxylan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)	G94091AV	2
GSD:159b23d6-4463-518c-b6d0-edc0916ae57e	glycogen	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:e96d30e8-eb7c-52f4-9b67-9a92a86513c7	glycoglycerolipid	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:a103e2ec-3b91-522f-8955-3b125da6d21f	glycoinositolphospholipids	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:045f4287-6314-539a-bc4b-5bbdad4b4b7f	glycolipids	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:b2e9740e-1fe6-5a6b-97f2-5a4d864900a0	glycosaminoglycans	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:aaadcfba-0977-5dd9-965d-40aa49d81920	glycosphingolipids	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:4f42f90c-4af2-5926-95b6-d0bfead73c72	glycosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:2039886e-7957-5b3b-bceb-1f3c3e3c1252	glycosyldiacylglycerolipid	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:eb91bceb-53d2-568b-8e05-ea0447fc3a5a	glycosylinositolphosphorylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:03eade63-065b-5266-b0d6-2d0feb657606	GM1b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G03277YI	5
GSD:3aa27544-ba80-5023-b104-e0747c328c0c	GM1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G48558GR; G03277YI; G46613JI	13
GSD:f05f9823-137e-586e-9ce6-90956a04b6bc	GM2	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G79389NT; G61168WC	12
GSD:40982fbc-1026-5333-acdb-aafdf94892be	GM3	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G91237TK; G56516VH	11
GSD:6541a9ff-3d21-5b09-8297-2ae4b63eb6c4	GPI glycan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:2f4047e2-bc8c-577d-9c8c-ed2e04227c65	GQ1b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G18625KA; G17077FL	13
GSD:926d7349-2069-5615-b469-3b6c845ce149	GT1b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G40183QN; G05952XV	13
GSD:3b3e1c65-614e-57dc-aa07-85a170fcf39a	GT1c	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G78818SP; G50762GU	10
GSD:76dafbf0-bbad-51c3-a5ff-fcd0648bef27	hemicellulose	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:6048df8d-01b1-53ec-93b6-3b712d0b5eeb	heparan sulfate backbone	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)		1
GSD:928fc0f5-5bfb-5be8-9eb6-dd405155d720	heparan sulfate	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G17927IW	4
GSD:1b759e1d-9070-5800-9001-ee81290ddc26	heparin	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G00021MO; G54161DR	4
GSD:017402ef-2612-5929-912c-b2b5634f6ebd	heteroxylan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:bae38c9e-4501-5161-bf22-a17698ab4153	highly branched complex-type N-glycan	2C	Composite descriptive phrase	2	curator	Curator-assigned classification (ground truth)		1
GSD:bd55e967-56fc-57a8-a669-0f45c0eb9a21	high-mannose N-glycan	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G55220VL; G00028MO	3
GSD:4aa392ab-169b-5da1-86a0-bb18312dba93	HNK-1	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G54406UD	6
GSD:12a886f2-8d40-554c-93dd-cc2f8894e46c	homogalacturonan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)	G25318VQ	5
GSD:6811049f-c1fb-5111-bcf3-360ba4f8e672	hyaluronan	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G29086KO; G00017MO	3
GSD:d4bdcdc4-b702-5263-b380-9175249b1ed6	hybrid N-glycan	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G16828VN	2
GSD:d09ee5db-281c-40b1-95c3-53f11f4aef41	I antigen	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G56045WU; G46055MA; G26929DQ	9
GSD:48f5dc7c-77b8-5e42-98c5-768334218a4e	keratan sulfate–related glycan antigens	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		1
GSD:55518b88-605c-5d07-a328-555ccbea84d0	keratan sulfate	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G82109MW; G00020MO	8
GSD:cea1d668-1fe6-50d0-9982-477ee729a810	LacdiNAc	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G31736BK; G00057MO	8
GSD:04d45d70-b2b3-5f73-bbe0-cf1fd8a53b5d	LacNAc	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G66213AR	5
GSD:6b96f33b-d7b7-5e34-ad41-d3b621495dff	lacto-series glycosphingolipids	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:0a063c08-7f72-5da7-9397-33bdcbc5315c	lactosylceramide	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G84224TW; G20420WT; G74621DY	12
GSD:898a8243-636a-5c97-90ac-fa638de41d03	Leishmania lipophosphoglycan repeat unit	3C	Association-defined glycan marker	3	curator	Curator-assigned classification (ground truth)		1
GSD:232bb3ce-533d-555d-a9f4-ed9809d4ad1d	levan-type fructan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:cabb56b2-34c2-5250-be10-65af64594104	Lewis antigens	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:4327ef94-5fff-5d27-8f23-207afe82a8d1	Lewis b	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G39211DH; G00048MO; G09552LA; G00052MO; G49963IQ	14
GSD:29cf4976-eff8-5c90-b2ce-05ee2f1e908a	lipid A core oligosaccharide	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)		1
GSD:97780e7f-7a97-52e0-bcef-62e033517882	lipo-chitooligosaccharide	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:5ce320b8-ced2-5597-9134-b409afd7632f	lipoglycan	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:755bd8b9-fb88-5107-b53c-4a9fa6a0f664	lipopeptidophosphoglycan	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:dea28036-c3f0-562f-9196-0d68504e1445	lipophosphoglycan	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
GSD:ce35d9a0-c346-5335-8128-5430003359c9	lipopolysaccharide	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:e44b5779-9508-562c-9490-a76618c6623a	lipoteichoic acid	1C	Non-GAG homo/hetero-polymer	1	curator	Curator-assigned classification (ground truth)		1
GSD:649ec44c-8ca8-51fc-ab09-791ddb37fde2	M7BC	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		2
GSD:3b8d8834-2436-5048-9e58-0a0c4ed97585	M8B	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)		2
GSD:d7aaf087-4381-5ac9-889c-e4793293c978	Man5	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G32104JU	3
GSD:ac85d43d-be44-59fa-a524-580fbff1c6e3	Man6	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G56038AR	3
GSD:dc08638c-1152-5e27-adb4-2e805b91dffc	Man-6-P-containing N-glycan	2B	Single descriptor phrase	2	curator	Curator-assigned classification (ground truth)		1
GSD:76f55f17-29ee-5938-bef1-bee233b36669	Man7	2D	Glycoform shorthand code	2	curator	Curator-assigned classification (ground truth)	G04216GB	4
