lbl	term_uuid	gtc_id	exact_synonyms_glygen	exact_synonyms_other	related_synonyms	classification	sentence
asialo-GM1	GSD:8ce1f4e6-8cbe-5167-8ece-a1cfc850d3a5	G21856LC	Asialo-GM1a|GA-1|Gangliotetraosylceramide|Gg4|GgO4|as-GM1|ganglio-N-tetraosylceramide	aGM1	GA1	Glycolipid	
GA1	GSD:a7868da4-a6c2-4825-97b9-c86700b1c213			ganglioside GA1	asialo-GM1	Ganglio-series asialylated	
biantennary complex-type N-glycan	GSD:7548e42d-e075-5fef-a148-a06913542f40		diantennary complex type			N-Linked Type	
biantennary N-glycan	GSD:abc37e9a-7363-5440-87f1-1e620ed70a9a		diantennary			N-Linked Type	
bisected complex-type N-glycan	GSD:c453bc0a-a177-5fa0-b20d-23636ce0200e					N-Linked Type	
bisecting GlcNAc	GSD:69988744-7296-5f26-8c2b-7a2cf6cd3ad3			bisecting N-acetylglucosamine|β1-4-GlcNAc		N-Linked Type	
bisecting α1-4GlcNAc	GSD:404bf970-2534-5f2f-86e1-746f0302e08a			α1-4GlcNAc		N-Linked Type	
blood group A determinant	GSD:7ec6f782-4bc2-57ae-a15d-27c73f9a14f7	G00066MO	blood group A trisaccharide	A antigen|A blood group determinant|blood group A glycans		Named Functional Motif	
blood group antigens	GSD:b584b143-e0c4-5b8f-8523-f8b53ea2cfbe					Named Functional Motif	
blood group B determinant	GSD:79a67483-e981-5415-9ec5-1725243f3795			B antigen|B blood group determinant|blood group B glycans		Named Functional Motif	
blood group H determinant	GSD:33654432-0fbb-5d63-964b-04779c68d99e	G00068MO		H antigen|H blood group determinant|blood group H glycans		Named Functional Motif	
blood group H type-1	GSD:fff47803-9624-5c8b-b6ac-f54c493cd27c	G00294TN|G40696TO	H type 1	Fucα1-2Galβ1-3GlcNAc1α-|type 1 blood group H core trisaccharide		Named Functional Motif	
branched N-glycan	GSD:5e28351b-8816-5e00-8aeb-cdc7a43e3eb9					N-Linked Type	
b-series gangliosides	GSD:e21a336f-6519-5fe7-9429-bcfa0d13f084			b-series		Glycolipid	
callose	GSD:1083d84a-bf43-50ba-a94d-bf349b194916					Polysaccharide	
cellobiose	GSD:1631d080-5dbb-5950-a0da-474aeb12d32d	G55560AP		cellobiose units		Polysaccharide Repeating Unit	
cellulose	GSD:c7381b2b-a6b8-53b0-9ccd-02d2e5f775f7					Polysaccharide	
chitin	GSD:87cba7f2-dfd0-5338-a6bb-0100197ad8ad	G97099AY		1-4-linked β-D-GlcNAc		Polysaccharide	
chitobiose	GSD:8756b00b-9dcc-514c-a965-d339f8ec93b2			chito-motif		Named Functional Motif	
chondroitin	GSD:c0561c11-1067-5e5a-ba4b-43ad894ccf41	G43702JT				Polysaccharide	
chondroitin sulfate A	GSD:0a5b0166-1241-5a4a-a0d8-d7d1970792c6				chondroitin-4-sulfate	Polysaccharide	
chondroitin sulfate B	GSD:37210836-4c03-58ec-ae10-befc14eacc9e				dermatan sulfate	Polysaccharide	
chondroitin sulfate C	GSD:0d5ea83b-21ec-59e0-a01e-35fb322984f4				chondroitin-6-sulfate	Polysaccharide	
chondroitin sulfate	GSD:3d250b8c-6c0f-5d52-9fd3-1a58a7660e1d		Chondroitinsulfate|chondroitin polysulfate|chondroitin sulfate|chondroitin sulfates|chondroitin sulfuric acid|chondroitin sulphate	chondroitin sulfate chain		Polysaccharide	
C-mannose	GSD:12a331e1-df46-5810-a2c0-83a4675298ce			C-linked mannose		Other	
complex ganglioside	GSD:83407b75-f351-5941-a80f-f5f3e662a358					Glycolipid	
complex glycan	GSD:918a1972-40ae-5a6e-9066-0b3b1c6fc5cf			complex oligosaccharides		N-Linked Type	
complex glycolipid	GSD:01252e39-1f93-59e0-a64c-0655bfa4d620					Glycolipid	
complex O-glycan	GSD:ebb26565-ed41-5f38-b9a5-a436515b2e86					Others	
complex-type N-glycan	GSD:8898cfbc-b227-5381-aa3b-2d6e8f5c855c			complex N-glycan|complex N-linked glycan|complex-type glycan		N-Linked Type	
sialylated complex-type N-glycan	GSD:13c3b217-f4d2-5e5f-9349-c2754539e341		sialo-complex type	complex sialylated N-glycan|complex-type sialylated glycan		N-Linked Type	
core 1 O-glycan	GSD:d30c0796-5386-5d5a-b374-96d79431db98	G00031MO	C1G	Galβ1-3GalNAcαS/T|core 1|core 1 O-GalNAc glycan		O-Linked Core	
core 2 O-glycan	GSD:84263c50-3256-5701-b917-3856baedd01f	G00033MO		core 2|core 2 O-GalNAc glycan		O-Linked Core	
core 3 O-glycan	GSD:0bdf4f51-9378-5d0c-a017-220cfd707bbe	G00035MO		core 3|core 3 O-GalNAc glycan		O-Linked Core	
core 4 O-glycan	GSD:380c3655-bfc9-5931-977b-294df335f2c3	G00037MO		core 4|core 4 O-GalNAc glycan		O-Linked Core	
core fucose	GSD:50d1be21-660a-5e10-a72d-f832009f71db	G78059CC	6-linked Fuc|Core Fuc|Fuc a1-6 to chitobiose core|Fuc a1-6 to internal GlcNAc|Fuca6 to chitobiose core|Fuca6 to internal GlcNAc|a1-6 Fuc|a6-linked Fuc			Named Functional Motif	
core M1 O-mannose glycan	GSD:d8e7f221-faf6-5ef2-8636-480671b984df	G85856KC		M1|core M1		O-Linked Core	
core M2 O-mannose glycan	GSD:9a0d5141-888d-51f3-b8b5-30b5a6456aa8	G56868BH		M2|core M2		O-Linked Core	
core M3 O-mannose glycan	GSD:67c80166-8447-5f77-b32c-17101f58e923	G97041TX		M3|core M3		O-Linked Core	
c-series gangliosides	GSD:ad4eef06-adc3-5576-ab88-d97ecabba171	G45770AV		c-series		Glycolipid	
cyclic β1-2 glucan	GSD:812d8fe6-24aa-5c10-afab-b0f3523c1d49			cyclic glucan		Polysaccharide	
dermatan sulfate	GSD:0ef0d5e3-6dad-54e6-9bde-79eec7ce6000		Chondroitin sulfate B|Dermatan L-iduronate|beta-Heparin		chondroitin sulfate B	Polysaccharide	
dextran	GSD:1fb3e01a-50ec-56fb-ab50-f6f757d82d96					Polysaccharide	
di-N-acetylbacillosamine	GSD:6f1bee5a-4792-5ca8-b631-f32c4052b8c5			diNAcBac		Monosaccharide	
disialyl Lewis a	GSD:2c92929a-4f34-5166-a815-b20e3decb896	G93400AK	disialyl Lea	disialyl-Lewis a		Named Functional Motif	
extended core-1 O-glycan	GSD:fc360443-5e52-5286-9023-5a450d05986c					O-Linked Core	
fructans	GSD:d5eb4aa0-0881-5a7f-8b55-4027c9e0d7df					Polysaccharide	
fucoidans	GSD:d437d34e-537b-57ce-8704-433177d46d46					Polysaccharide	
fucosylated glycans	GSD:48b33e4c-bedf-5af1-ba2a-8730ba59a999					Others	
fucosylated N-glycan	GSD:513ef5dc-3e7b-5d21-9757-fd24642c2e46					N-Linked Type	
Fucα1-2Gal	GSD:04968aef-3b4e-5f07-8352-79ac445ab345					IUPAC String	
G0	GSD:bf0e78e7-7656-5f66-8677-a96d59743cfe	G36191CD		G0	A2	IgG notation|N-Glycan Code	
galabiose	GSD:a2c78d58-1d1e-5488-972e-60788bd92662			Galα1-4Gal determinant|Galα1-4Gal moiety		Named Functional Motif	
galactan	GSD:672c9b68-8cc9-5b73-a41f-4f1912dbe84b					Polysaccharide	
galactolipid	GSD:a92a3278-eedb-5329-b627-fe354524b4f1					Glycolipid	
galactomannan	GSD:1d4660e2-b1f4-5dfd-8daa-7b23494e4747	G93424OB				Polysaccharide	
galactose-terminated N-glycan branch	GSD:0a1fb874-2e4b-58f7-8fd4-4bb308613cb0			galactose terminated branch		Named Functional Motif	
galactosylceramide	GSD:7829c0b5-3df6-5e54-baad-fb4c64380426	G65889KE	GalCer|Galactocerebroside|LC	Gal-Cer|GalCer|galactoceramide		Glycolipid	
GalNAcα1-3Gal	GSD:4dfd069b-a6b4-53af-96b3-b6464421b392					IUPAC String	
GalNAcα1-4GalNAcα1-3-diNAcBac	GSD:f38bd421-3733-5f59-a1e6-c07ff71a9298			GalNAcα1-4GalNAcα1-3-diNAcBac-β1		IUPAC String	
GalNAcα1-4GalNAcα1-4	GSD:dc576e33-db61-5a15-beff-20d06f37e944					IUPAC String	
Galα1-3GalNAc	GSD:e20326f3-93ec-5b08-83c8-4b0fbc04ef9c					IUPAC String	
Galα1-3Galα	GSD:395a4112-0689-5bb3-92fc-a60b2e0cb3a3					IUPAC String	
Galα1-3Galβ1-4GlcNAc	GSD:b9bc662d-a00d-52c9-8b01-e6483eb298f2			Galα1-3Galβ1-4GlcNAc-R		IUPAC String	
Galα1-3Glcα	GSD:69fbdafc-9293-50a2-8401-c788fa54b2fd			Galα1-3Glcα1- disaccharide		IUPAC String	
Galβ1-3GalNAcβ1-4Gal	GSD:e1fbb8c1-c50d-59a7-97f0-870d83b0601c					IUPAC String	
Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAc	GSD:5363637f-5a19-5108-ae9d-02b3e1d7003e					IUPAC String	
ganglio-series glycosphingolipid	GSD:cac8e53d-b210-51f2-8b22-4d0f32b77326			ganglio-series		Glycolipid	
ganglioside	GSD:7a810b44-8bb6-56ba-b76c-339d66b301d7					Glycolipid	
Gb3	GSD:20e88f5c-c2b3-59f6-be89-7e0e58465d7c	G00059MO		Galα1-4Galβ1-4Glc|globotriaosylceramide	CD77|Pk antigen	Glycolipid	
Pk antigen	GSD:94c78688-31d6-41ea-b885-c811f945864d	G06000DZ		Galα1-4Galβ1-4Glc	Gb3	P1PK Blood Group System	
CD77	GSD:2721b555-911d-4079-a026-e761a752deb8			Galα1-4Galβ1-4Glc	Gb3	Cluster of Differentiation	
Gb4	GSD:cb509f2c-8352-571e-987f-6afbb43dd3c5	G00061MO		GalNAcβ1-3Galα1-4Galβ1-4Glc|P antigen|globoside-4|globotetraosylceramide	P antigen	Glycolipid	
P antigen	GSD:cf106ff8-f5cf-494a-a7bd-47029cde0d2b				Gb4	P1PK Blood Group System	
GD1a	GSD:ce08ddcb-1567-5caa-9ad2-9c2209277bcc	G45714BQ|G46677TE	GD1alpha	ganglioside GD1a		Glycolipid	
GD1b	GSD:e4e3df0d-c881-5a91-97fc-fbe47b595923	G37184KW		ganglioside GD1b		Glycolipid	
GD1	GSD:d0c0ead3-30f7-5dbf-97a0-dc0aaf2624c4	G81983KG	GD1c	ganglioside GD1		Glycolipid	
Gg4	GSD:b137039e-0172-5d89-8fa3-68775f8d4016	G00061MO|G21856LC	Cytolipin K|Gb4|Gb4Cer|Globoside|P antigen	ganglioside Gg4		Glycolipid	
Glc3Man9GlcNAc2	GSD:cc06bb89-924b-5d6d-a843-baca062dd6a4					N-Linked Composition	
GlcA-GlcNAc repeating unit	GSD:297e2bb5-a492-5cd7-bda2-0b6e10d91868			GlcA-GlcNAc RUs		Polysaccharide Repeating Unit	
GlcAβ1-3GalNAc repeating unit	GSD:a5eb4dff-4b85-50db-bbd6-af4b55393241					Polysaccharide Repeating Unit	
GlcAβ1-3Galβ	GSD:a2d09e61-b751-50c2-be00-9be4c20148f3			GlcAβ1-3Galβ-R		IUPAC String	
GlcNAc-P-Man phosphodiester	GSD:6c9a6faf-fad0-566d-ad32-8d6d1bd04f1f					Disaccharide	
GlcNAcβ1-2Manα1-3	GSD:909439ef-1f1a-5c74-9e36-56cca3f8b024					IUPAC String	
GlcNAcβ1-2Manα1-6	GSD:333cf741-734c-5f79-929e-7aba2473fd6d			GlcNAcαβ1-2Manα1-6		IUPAC String	
GlcNAcβ1-4Gal	GSD:05a85523-3746-5e27-b26c-b6be92baa9ce					IUPAC String	
GlcNAcβ1-4GlcNAc	GSD:a4024824-8ebd-52bb-bd77-3d2bfc7428bb					IUPAC String	
GlcNAcβ1-4Glc	GSD:5534ac2a-997a-55ae-a2ac-0ecef58af642			GlcNAcβ1-4Glc-Cer		IUPAC String	
GlcNAcβ1-4Man	GSD:b6520151-5833-5a29-8b9e-5366ad982946					IUPAC String	
Glcα1-4Glc repeating unit	GSD:6348b8f8-fc3a-5bf8-a237-9e1c4b573f2d					Polysaccharide Repeating Unit	
Glcα1-phosphate-Man	GSD:4f0d6449-4ecc-5890-be80-3712fd55caad			Glcα1-PO4-Man		Disaccharide	
Glcβ1-3Fucα-O-	GSD:51a57210-2ae6-5077-808c-5b752b914b6b			Glcβ1-3Fucα-O-Ser/Thr		Others	
globo-series glycospingolipids	GSD:ee15a6e1-4986-5710-b1f7-04d74d0ebfba	G00061MO	Cytolipin K|Gb4|Globoside I|Globotetraosylceramide|P antigen	globo-series		Glycolipid	
glucan	GSD:f103e2fb-58a5-5b16-80c5-8e27ca3c0536			glucose polymers		Polysaccharide	
glucomannan	GSD:2312c43c-2cd4-563f-b74c-b95ee7b58642	G88924MD				Polysaccharide	
glucosylceramide	GSD:3d06d77f-0323-508b-8678-7e86c86b85c4	G71142DF	CMH|Ceramide monohexoside|GlcCer|Glucocerebroside	Glc-Cer|GlcCer|glucoceramide		Glycolipid	
glucuronoarabinoxylan	GSD:77ceee42-d16d-590b-ae3e-94e617326342	G54315VV				Polysaccharide	
glucuronoxylan	GSD:68812b8d-f8a2-5064-86e7-b8389b0069d5	G94091AV				Polysaccharide	
glycogen	GSD:159b23d6-4463-518c-b6d0-edc0916ae57e					Polysaccharide	
glycoglycerolipid	GSD:e96d30e8-eb7c-52f4-9b67-9a92a86513c7					Glycolipid	
glycoinositolphospholipids	GSD:a103e2ec-3b91-522f-8955-3b125da6d21f			GIPLs		Glycolipid	
glycolipids	GSD:045f4287-6314-539a-bc4b-5bbdad4b4b7f					Glycolipid	
glycosaminoglycans	GSD:b2e9740e-1fe6-5a6b-97f2-5a4d864900a0			GAGs		Polysaccharide	
glycosphingolipids	GSD:aaadcfba-0977-5dd9-965d-40aa49d81920			GSLs		Glycolipid	
glycosylceramide	GSD:4f42f90c-4af2-5926-95b6-d0bfead73c72					Glycolipid	
glycosyldiacylglycerolipid	GSD:2039886e-7957-5b3b-bceb-1f3c3e3c1252			glycosyldiacylglycerolipids		Glycolipid	
glycosylinositolphosphorylceramide	GSD:eb91bceb-53d2-568b-8e05-ea0447fc3a5a			GIPCs|glycosylinositolphosphorylceramides		Glycolipid	
GM1b	GSD:03eade63-065b-5266-b0d6-2d0feb657606	G03277YI		Siaα2-3Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-1Cer|ganglioside GM1b	cisGM1	Glycolipid	
GM1	GSD:3aa27544-ba80-5023-b104-e0747c328c0c	G48558GR	GM1 ganglioside|GM1-ganglioside	ganglioside GM1	GM1a	Glycolipid	
GM2	GSD:f05f9823-137e-586e-9ce6-90956a04b6bc	G79389NT		ganglioside GM2		Glycolipid	
GM3	GSD:40982fbc-1026-5333-acdb-aafdf94892be	G91237TK		ganglioside GM3		Glycolipid	
GPI glycan	GSD:6541a9ff-3d21-5b09-8297-2ae4b63eb6c4			GPI anchor|Manα1-2Manα1-6Manα1-4GlcNα1-6Inositolphospholipid|glycosylphosphatidylinositol		Glycolipid	
GQ1b	GSD:2f4047e2-bc8c-577d-9c8c-ed2e04227c65	G18625KA		ganglioside GQ1b		Glycolipid	
GT1b	GSD:926d7349-2069-5615-b469-3b6c845ce149	G40183QN		ganglioside GT1b		Glycolipid	
GT1c	GSD:3b3e1c65-614e-57dc-aa07-85a170fcf39a	G78818SP		ganglioside GT1c		Glycolipid	
hemicellulose	GSD:76dafbf0-bbad-51c3-a5ff-fcd0648bef27			Hemicellulosic polysaccharides		Polysaccharide	
heparan sulfate backbone	GSD:6048df8d-01b1-53ec-93b6-3b712d0b5eeb			GlcAβ1-4GlcNAcα1-4		Polysaccharide Repeating Unit	
heparan sulfate	GSD:928fc0f5-5bfb-5be8-9eb6-dd405155d720	G17927IW	Heparan N-sulfate|Heparan sulfate|Heparan sulphate|Heparatan sulfate|Heparin monosulfate|Heparin sulfate|Heparitin monosulfate|Heparitin sulfate|N-Acetylheparan sulfate	HS		Polysaccharide	
heparin	GSD:1b759e1d-9070-5800-9001-ee81290ddc26		Cy 222|Heparin|Heparinic acid|bemiparin|certoparin|enoxaparin|fluxum|parnaparin|reviparin|sandoparin			Polysaccharide	
heteroxylan	GSD:017402ef-2612-5929-912c-b2b5634f6ebd					Polysaccharide	
highly branched complex-type N-glycan	GSD:bae38c9e-4501-5161-bf22-a17698ab4153			highly branched complex-type N-glycans		N-Linked Type	
high-mannose N-glycan	GSD:bd55e967-56fc-57a8-a669-0f45c0eb9a21	G55220VL	oligomannose, high-mannose, oligomannose-type	high mannose glycan|high-mannose-type N-glycan|oligomannose N-glycan|oligomannose-type N-glycan|oligomannosidic glycan|oligomannosyl N-glycan		N-Linked Type	
HNK-1	GSD:4aa392ab-169b-5da1-86a0-bb18312dba93	G54406UD	CD57|HNK-1 antigen|HNK-1 carbohydrate epitope	human natural killer-1 antigen		Named Functional Motif	
homogalacturonan	GSD:12a886f2-8d40-554c-93dd-cc2f8894e46c	G25318VQ				Polysaccharide	
hyaluronan	GSD:6811049f-c1fb-5111-bcf3-360ba4f8e672	G29086KO	HA	GlcAβ1-3GlcNAcβ1-4		Polysaccharide	
hybrid N-glycan	GSD:d4bdcdc4-b702-5263-b380-9175249b1ed6	G16828VN		hybrid-type N-glycan|hybrid-type glycan		N-Linked Type	
I antigen	GSD:d09ee5db-281c-40b1-95c3-53f11f4aef41	G56045WU		branched poly-n-acetyllactosamine units		Named Functional Motif	
i antigen	GSD:4e8ca135-621a-5f60-9db3-0873d1b18e94	G00058MO|G46055MA	Type 2 LN2	linear poly-N-acetyllactosamine units		Named Functional Motif	
keratan sulfate–related glycan antigens	GSD:48f5dc7c-77b8-5e42-98c5-768334218a4e			KS–related antigens		Named Functional Motif	
keratan sulfate	GSD:55518b88-605c-5d07-a328-555ccbea84d0	G82109MW	Keratan 6'-sulphate|Keratan sulphate|Kerato 6'-sulphate|Kerato sulfate|Kerato sulphate|keratan|keratan 6'-sulfate|kerato 6'-sulfate	KS chain|keratan sulfate chain		Polysaccharide	
LacdiNAc	GSD:cea1d668-1fe6-50d0-9982-477ee729a810	G31736BK	LDN	GalNAcβ1-4GlcNAc|GalNAcβ1-4GlcNAcβ1-|LDN|LacdiNAc|N-acetylgalactosamine β1-4 N-acetylglucosamine		Named Functional Motif	
LacNAc	GSD:04d45d70-b2b3-5f73-bbe0-cf1fd8a53b5d	G66213AR		Galβ1-4GlcNAc|LN|N-acetyllactosamine		Named Functional Motif	
lacto-series glycosphingolipids	GSD:6b96f33b-d7b7-5e34-ad41-d3b621495dff			lacto-series		Glycolipid	
lactosylceramide	GSD:0a063c08-7f72-5da7-9397-33bdcbc5315c	G84224TW	CDH|LacCer|Lc2	Galβ1-4Glc-Cer|LacCer		Glycolipid	
Leishmania lipophosphoglycan repeat unit	GSD:898a8243-636a-5c97-90ac-fa638de41d03			Gal-Man-PO4- repeat unit|Galβ1-4Manα1-PO4		Polysaccharide Repeating Unit	
levan-type fructan	GSD:232bb3ce-533d-555d-a9f4-ed9809d4ad1d					Polysaccharide	
Lewis antigens	GSD:cabb56b2-34c2-5250-be10-65af64594104			Lewis antigens|Lewis blood group antigens|Lewis type glycans|Lewis-type structures		Named Functional Motif	
Lewis a	GSD:c5a61542-ca29-5ce2-bf63-a4f7caf9bf9c	G00047MO|G39023AU	Le(a)|Le^a|Lea|Lea-3	Lea		Named Functional Motif	
Lewis b	GSD:4327ef94-5fff-5d27-8f23-207afe82a8d1	G00048MO|G39211DH	Le(b)|Le^b|Lewis(b)	Leb		Named Functional Motif	
Lewis x	GSD:89ba627c-cee9-5954-982f-3410e75fb006	G00051MO	Galbeta1-4(Fucalpha1-3)GlcNAc|Le(X)|Le^x|Lewis x trisaccharide|Lex|SSEA-1	Lex		Named Functional Motif	
lipid A core oligosaccharide	GSD:29cf4976-eff8-5c90-b2ce-05ee2f1e908a					Glycolipid	
lipo-chitooligosaccharide	GSD:97780e7f-7a97-52e0-bcef-62e033517882			LCO|lipochitooligosaccharide		Glycolipid	
lipoglycan	GSD:5ce320b8-ced2-5597-9134-b409afd7632f					Others	
lipopeptidophosphoglycan	GSD:755bd8b9-fb88-5107-b53c-4a9fa6a0f664			LPPG		Others	
lipophosphoglycan	GSD:dea28036-c3f0-562f-9196-0d68504e1445			LPG		Glycolipid	
lipopolysaccharide	GSD:ce35d9a0-c346-5335-8128-5430003359c9			LPS		Glycolipid	
lipoteichoic acid	GSD:e44b5779-9508-562c-9490-a76618c6623a			LTA		Polysaccharide	
M7BC	GSD:649ec44c-8ca8-51fc-ab09-791ddb37fde2					N-Linked Code|Oxford notation	
M8B	GSD:3b8d8834-2436-5048-9e58-0a0c4ed97585					N-Linked Code|Oxford notation	
Man3	GSD:dd1653b0-671f-5a14-872b-aaa5a18bcd82	G22768VO		Man3GlcNAc2	M3 (N-glycan)	IgG notation|N-Linked Code	
Man5	GSD:d7aaf087-4381-5ac9-889c-e4793293c978	G32104JU		Man5GlcNAc2	M5	IgG notation|N-Linked Code	
Man6	GSD:ac85d43d-be44-59fa-a524-580fbff1c6e3	G56038AR		Man6GlcNAc2	M6	IgG notation|N-Linked Code	
Man-6-P-containing N-glycan	GSD:dc08638c-1152-5e27-adb4-2e805b91dffc			M6P-containing glycan		N-Linked Type	
Man7	GSD:76f55f17-29ee-5938-bef1-bee233b36669	G04216GB		Man7GlcNAc2	M7	IgG notation|N-Linked Code	
Man8	GSD:652f4ddf-ec6a-59c8-ba0e-46a26173f4b7	G91704UR		Man8GlcNAc2	M8	IgG notation|N-Linked Code	
Man9	GSD:171cbaf9-e31b-5be4-ab4c-b9a60cf10330	G26508HK		Man9GlcNAc2	M9	IgG notation|N-Linked Code	
mannan	GSD:038734aa-0f88-58d2-9ee6-d2f72d775a65					Polysaccharide	
mannose-terminated N-glycan	GSD:19877723-8cc4-55e5-80fb-b478f3358924					N-Linked Type	
mannosylated lipoarabinomannan	GSD:08ea19f8-5687-56dc-9812-ce892691fca0			ManLAM		Glycolipid	
Manα1-2Manα1-2Manα1-6Manα1-4GlcN-inositolphosphoceramide	GSD:f2dab9ed-ecb3-569f-ab8a-93c8083d549d			fumigatus galactomannan-Manα1–2Manα1–2Manα1–6Manα1–4GlcN-inositolphosphoceramide		IUPAC String	
Manα1-3Man disaccharide	GSD:20de8d28-539e-5869-9718-cf9c103f2fc6					IUPAC String	
Manβ1-4Glc-ceramide	GSD:7480c595-8fc8-5ffa-b750-26ae3fb65f8a			Manβ1-4Glc-Cer		IUPAC String	
matriglycan	GSD:1cd04026-2429-5e21-a7ab-c21c2150a456					Polysaccharide Repeating Unit	
methanochondroitin	GSD:96cf2a55-237d-5a94-8c48-ea3a5399fcc2					Polysaccharide	
monoantennary N-glycan	GSD:6d8d4be9-d746-5d48-9da6-ca1f0eb3b919					N-Linked Type	
monoglucosylated N-glycan	GSD:9dbd00b1-daa1-5dd7-8643-cfc47dc7f67e					N-Linked Type	
monosialylated ganglioside	GSD:c2c341af-933d-5fc8-9481-74150676c0bb					Glycolipid	
mucin-type O-glycans	GSD:07f53917-abb0-5512-9eb2-b97850950eee				mucin-type O-glycans	O-Linked Core	
multiantennary complex-type N-glycan	GSD:4bcdab57-7409-55df-98c2-eadb9cd4ed93			multiantennary N-glycan		N-Linked Type	
neolacto-series glycosphingolipids	GSD:cf5631fb-aa17-5630-9cf9-3ec070faf8ed			neolacto-series		Glycolipid	
Neu5Acα2-3Gal	GSD:473ec64b-303a-53b4-842b-2f8156bc19d1	G77824XV		Neu5Acα2–3Gal-|Neu5Acα2–3Gal-containing oligosaccharides|Neu5Acα2–3Gal-terminated glycans		IUPAC String	
Neu5Acα2-6Gal	GSD:159f879f-6c57-55d5-b09b-3da3ba2f6cc2	G44345UH		Neu5Acα2–6Gal linkages|Neu5Acα2–6Gal-containing oligosaccharides		IUPAC String	
Neu5Gcα2-3Galβ1-4Glc	GSD:5c93c17c-c516-5bff-8b0d-1541c5ea340b	G32969VW		Neu5Gcα2–3Galβ1–4Glc		IUPAC String	
N-glycan core	GSD:24d335a2-51a3-5232-96e6-2d60815f8e55					N-Linked Type	
N-glycan corneal-type keratan sulfate	GSD:3fda8660-e983-5497-aba6-bb4d277e8486			N-glycan corneal-type KS		N-Linked Type	
N-glycans	GSD:b6aa2621-651c-5dc5-af13-e3dc0b932d37	G78059CC		N-linked|N-linked oligosaccharides|asparagine–N-linked glycans		N-Linked Type	
O-acetylated sialic acids	GSD:929ed22f-b4a5-54aa-9c0d-8000b75e4a33			O-acetylated Sias		Named Functional Motif	
O-antigen	GSD:831262e4-f719-5510-a84a-ee900c77b375			LPS O antigen|O-PS|O-polysaccharides|lipopolysaccharide O antigen		Named Functional Motif	
O-fucose glycan	GSD:90a94f3e-97fc-5377-bba5-0d13d2766193	G39294YF				Others	
