src_dir	line_idx	main_term	synonym	rel
src_cummings	26	6,6'-bisSulfo-Lewis x	6'-bissulfo Lex)	ignore
src_cummings	27	3'-Sulfo-Lewis x	3'-sulfo Lex	exact
src_cummings	28	3'-Sulfo-Lewis a	3'-Sulfo Lea	exact
src_cummings	32	3-Sialyl-LN type 2	type 2	broad
src_cummings	32	3-Sialyl-LN type 2	3-Sialyl-LN	broad
src_cummings	33	Blood group H - type 2 chain	type 2	broad
src_cummings	33	Blood group H - type 2 chain	Blood group H	broad
src_cummings	34	Blood group B - type 2 chain	type 2	broad
src_cummings	34	Blood group B - type 2 chain	Blood group B	broad
src_cummings	35	Blood group A - type 2 chain	type 2	broad
src_cummings	35	Blood group A - type 2 chain	Blood group A	broad
src_cummings	36	Blood group A1 - type 3 chain	type 3	broad
src_cummings	36	Blood group A1 - type 3 chain	Blood group A1	broad
src_cummings	37	Blood group A2 - A-associated H type 3 chain	A-associated H type 3	exact
src_cummings	37	Blood group A2 - A-associated H type 3 chain	Blood group A2	broad
src_cummings	42	SLex on Core 2 O-glycan	SLex Core 2 O-glycan glycan	exact
src_cummings	46	Lex on O-Mannose	O-Mannose Lex	exact
src_cummings	56	Lactotriaosylceramide	Lc3	abbreviation
src_cummings	57	Pk antigen	Gb3	related
src_cummings	57	Pk antigen	globotriaosylceramide	related
src_cummings	59	Globoside	P antigen) (Gb4	ignore
src_cummings	67	fucosylated GL-6	globoH	exact
src_cummings	67	fucosylated GL-6	GL-6 fucosylated	exact
src_cummings	69	GL-7	SSEA-4	related
src_cummings	69	GL-7	GL-7 globoseries ganglioside	exact
src_cummings	86	cisGM1	GM1b	exact
src_cummings	91	GD1	GD1c	narrow
src_cummings	92	GD1alpha	GD1α	exact
src_eog	0	β3-linked glucose	1-3-linked β-Glc	exact
src_eog	1	1-4-linked α-L-guluronic acid	1-4-linked α-L-GulpA	exact
src_eog	2	1-4-linked β-D-mannuronic acid	1-4-linked β-D-ManpA	exact
src_eog	3	β6-linked galactose	1-6-linked β-Galp	exact
src_eog	4	β6-linked glucose	1-6-linked β-Glc	exact
src_eog	7	3-O-sulfated galactose	3-O-sulfated Gal	exact
src_eog	12	6'-sulfo-sialyl Lewis x	sialyl-6'-sulfo-Lex	exact
src_eog	12	6'-sulfo-sialyl Lewis x	Sialyl-6'-sulfo-Lewis x	exact
src_eog	12	6'-sulfo-sialyl Lewis x	6'-sulfo-SLex	exact
src_eog	13	9-O-acetylated sialic acid	9-O-acetylated Sia	exact
src_eog	13	9-O-acetylated sialic acid	9-O-Ac-Sia	exact
src_eog	13	9-O-acetylated sialic acid	9-O-acetylated-SA	exact
src_eog	19	arthroseries glycosphingolipids	arthroseries glycolipids	broad
src_eog	22	GA1	ganglioside GA1	exact
src_eog	26	bisecting GlcNAc	bisecting N-acetylglucosamine	exact
src_eog	26	bisecting GlcNAc	bisecting β1-4GlcNAc	exact
src_eog	28	blood group A determinant	A blood group determinant	exact
src_eog	30	blood group B determinant	B blood group determinant	exact
src_eog	31	blood group H determinant	H blood group determinant	exact
src_eog	32	blood group H type-1	type 1 blood group H core trisaccharide	exact
src_eog	45	C-mannose	C-linked mannose	exact
src_eog	50	complex-type N-glycan	complex N-glycan	exact
src_eog	50	complex-type N-glycan	complex N-linked glycan	exact
src_eog	51	sialylated complex-type N-glycan	complex sialylated N-glycan	exact
src_eog	52	core 1 O-glycan	core 1	exact
src_eog	52	core 1 O-glycan	core 1 O-GalNAc glycan	exact
src_eog	53	core 2 O-glycan	core 2	exact
src_eog	53	core 2 O-glycan	core 2 O-GalNAc glycan	exact
src_eog	54	core 3 O-glycan	core 3	exact
src_eog	54	core 3 O-glycan	core 3 O-GalNAc glycan	exact
src_eog	55	core 4 O-glycan	core 4	exact
src_eog	55	core 4 O-glycan	core 4 O-GalNAc glycan	exact
src_eog	57	core M1 O-mannose glycan	core M1	exact
src_eog	57	core M1 O-mannose glycan	M1	abbreviation
src_eog	58	core M2 O-mannose glycan	core M2	exact
src_eog	58	core M2 O-mannose glycan	M2	abbreviation
src_eog	59	core M3 O-mannose glycan	core M3	exact
src_eog	59	core M3 O-mannose glycan	M3	abbreviation
src_eog	60	c-series gangliosides	c-series	exact
src_eog	64	di-N-acetylbacillosamine	diNAcBac	abbreviation
src_eog	65	disialyl Lewis a	disialyl-Lewis a	exact
src_eog	78	galactosylceramide	galactoceramide	exact
src_eog	78	galactosylceramide	GalCer	abbreviation
src_eog	78	galactosylceramide	Gal-Cer	abbreviation
src_eog	85	Galα1-3Glcα	Galα1-3Glcα1- disaccharide	exact
src_eog	93	Gb4	globoside-4	exact
src_eog	95	GD1a	ganglioside GD1a	exact
src_eog	96	GD1b	ganglioside GD1b	exact
src_eog	97	GD1	ganglioside GD1	exact
src_eog	98	Gg4	ganglioside Gg4	exact
src_eog	100	GlcA-GlcNAc repeating unit	GlcA-GlcNAc RUs	exact
src_eog	111	Glcα1-phosphate-Man	Glcα1-PO4-Man	exact
src_eog	113	globo-series glycospingolipids	globo-series	broad
src_eog	114	glucan	glucose polymers	exact
src_eog	116	glucosylceramide	glucoceramide	exact
src_eog	116	glucosylceramide	GlcCer	abbreviation
src_eog	116	glucosylceramide	Glc-Cer	abbreviation
src_eog	121	glycoinositolphospholipids	GIPLs	abbreviation
src_eog	123	glycosaminoglycans	GAGs	abbreviation
src_eog	124	glycosphingolipids	GSLs	abbreviation
src_eog	126	glycosyldiacylglycerolipid	glycosyldiacylglycerolipids	exact
src_eog	127	glycosylinositolphosphorylceramide	glycosylinositolphosphorylceramides	exact
src_eog	127	glycosylinositolphosphorylceramide	GIPCs	abbreviation
src_eog	128	GM1b	ganglioside GM1b	exact
src_eog	129	GM1	ganglioside GM1	exact
src_eog	130	GM2	ganglioside GM2	exact
src_eog	131	GM3	ganglioside GM3	exact
src_eog	133	GQ1b	ganglioside GQ1b	exact
src_eog	134	GT1b	ganglioside GT1b	exact
src_eog	135	GT1c	ganglioside GT1c	exact
src_eog	136	hemicellulose	Hemicellulosic polysaccharides	exact
src_eog	138	heparan sulfate	HS	abbreviation
src_eog	141	highly branched complex-type N-glycan	highly branched complex-type N-glycans	exact
src_eog	142	high-mannose N-glycan	oligomannose N-glycan	exact
src_eog	142	high-mannose N-glycan	high mannose	exact
src_eog	142	high-mannose N-glycan	high-mannose-type N-glycan	exact
src_eog	142	high-mannose N-glycan	oligomannose-type N-glycan	exact
src_eog	142	high-mannose N-glycan	oligomannosyl N-glycan	exact
src_eog	143	HNK-1	Human Natural Killer-1 carbohydrate	exact
src_eog	146	hybrid N-glycan	hybrid-type N-glycan	exact
src_eog	146	hybrid N-glycan	hybrid-type	exact
src_eog	148	i antigen	linear poly-LacNAc	related
src_eog	148	i antigen	linear type-2 chain	related
src_eog	148	i antigen	linear poly-N-acetyllactosamine	related
src_eog	149	keratan sulfate–related glycan antigens	KS–related antigens	exact
src_eog	150	keratan sulfate	KS	abbreviation
src_eog	151	LacdiNAc	LDN	abbreviation
src_eog	152	LacNAc	N-acetyllactosamine	exact
src_eog	152	LacNAc	LN	abbreviation
src_eog	154	lactosylceramide	LacCer	abbreviation
src_eog	157	Lewis antigens	Lewis-type structures	exact
src_eog	157	Lewis antigens	Lewis type glycans	exact
src_eog	157	Lewis antigens	Lewis blood group antigens	exact
src_eog	158	Lewis a	Lea	abbreviation
src_eog	159	Lewis b	Leb	abbreviation
src_eog	160	Lewis x	Lex	abbreviation
src_eog	162	lipo-chitooligosaccharide	lipochitooligosaccharide	exact
src_eog	162	lipo-chitooligosaccharide	LCO	abbreviation
src_eog	164	lipopeptidophosphoglycan	LPPG	abbreviation
src_eog	165	lipophosphoglycan	LPG	abbreviation
src_eog	166	lipopolysaccharide	LPS	abbreviation
src_eog	167	lipoteichoic acid	LTA	abbreviation
src_eog	168	M7BC	Man7GlcNAc2 isomer BC	exact
src_eog	169	M8B	Man8GlcNAc2 isomer B	exact
src_eog	176	Man9	Man9GlcNAc2	exact
src_eog	179	mannosylated lipoarabinomannan	ManLAM	abbreviation
src_eog	182	Manβ1-4Glc-ceramide	Manβ1-4Glc-Cer	exact
src_eog	189	multiantennary complex-type N-glycan	multiantennary complex-type	exact
src_eog	191	Neu5Acα2-3Gal	Neu5Acα2–3Gal-	exact
src_eog	193	Neu5Gcα2-3Galβ1-4Glc	Neu5Gcα2–3Galβ1–4Glc	exact
src_eog	195	keratan sulfate type I	N-linked KS	exact
src_eog	195	keratan sulfate type I	corneal-type KS	exact
src_eog	195	keratan sulfate type I	KS-I	abbreviation
src_eog	196	N-glycans	asparagine–N-linked glycan	exact
src_eog	196	N-glycans	N-linked	exact
src_eog	196	N-glycans	N-linked oligosaccharide	exact
src_eog	197	O-acetylated sialic acids	O-acetylated Sias	exact
src_eog	197	O-acetylated sialic acids	O-Ac-SA	abbreviation
src_eog	198	O-antigen	O-polysaccharides	exact
src_eog	198	O-antigen	lipopolysaccharide O antigen	exact
src_eog	198	O-antigen	LPS O antigen	exact
src_eog	198	O-antigen	O-PS	abbreviation
src_eog	200	O-GalNAc core structures	O-GalNAc cores	exact
src_eog	203	O-glucose glycan	O-Glc glycan	exact
src_eog	204	O-glycans	O-linked oligosaccharide	exact
src_eog	207	oligomannose	oligomannosyl structure	exact
src_eog	209	O-linked Glc-Gal disaccharide	O-Linked Glc-Gal	exact
src_eog	211	keratan sulfate type II	skeletal-type KS	exact
src_eog	211	keratan sulfate type II	KS-II	abbreviation
src_eog	213	O-linked N-acetylglucosamine	O-linked GlcNAc	exact
src_eog	213	O-linked N-acetylglucosamine	O-β-GlcNAc	exact
src_eog	215	O-mannose glycan	O-Man glycan	exact
src_eog	215	O-mannose glycan	O-mannose-based glycan	exact
src_eog	215	O-mannose glycan	O-mannosyl glycan	exact
src_eog	215	O-mannose glycan	O-mannose initiated glycans	exact
src_eog	217	O-xylose-linked glycosaminoglycan	O-xylose-linked GAG chains	exact
src_eog	218	P1 antigen	P1 determinant	exact
src_eog	219	paucimannose N-glycan	paucimannosidic N-glycan	exact
src_eog	229	poly-N-acetylglucosamine	poly-GlcNAc	exact
src_eog	229	poly-N-acetylglucosamine	PNAG	abbreviation
src_eog	230	poly-N-acetyllactosamine	poly-LacNAc	exact
src_eog	230	poly-N-acetyllactosamine	poly-LN	exact
src_eog	232	polysialic acid	polySia	abbreviation
src_eog	232	polysialic acid	PSA	abbreviation
src_eog	233	pseudomurein	pseudopeptidoglycan	exact
src_eog	235	Rhamnogalacturonan-II	RG-II	abbreviation
src_eog	236	Rhamnogalacturonan-I	RG-I	abbreviation
src_eog	239	R-linked α-N-acetylglucosamine	arginine-linked α-GlcNAc	exact
src_eog	240	Sda antigen	Sda	abbreviation
src_eog	243	sialoglycan	Sia-containing glycan	exact
src_eog	243	sialoglycan	sialic acid-containing glycan	exact
src_eog	252	sialyl Lewis a	sialyl-Lea	exact
src_eog	252	sialyl Lewis a	sLea	abbreviation
src_eog	252	sialyl Lewis a	sLeA	abbreviation
src_eog	253	CA19-9	carbohydrate antigen 19-9	exact
src_eog	254	sialyl Lewis x	sialyl-Lex	exact
src_eog	254	sialyl Lewis x	sLex	abbreviation
src_eog	254	sialyl Lewis x	sLeX	abbreviation
src_eog	255	sialyl-Tn antigen	sTn	abbreviation
src_eog	256	sialyl-Tn	sialyl-Tn antigen	exact
src_eog	256	sialyl-Tn	sTn antigen	abbreviation
src_eog	259	S-linked glucose	S-linked Glcp	exact
src_eog	260	SSEA-4	stage-specific embryonic antigen-4	exact
src_eog	265	sulfated glycosaminoglycan	sulfated glycosaminoglycan chains	exact
src_eog	265	sulfated glycosaminoglycan	sulfated GAG	abbreviation
src_eog	267	sulfated O-GalNAc glycan	sulfated mucin-type glycan	exact
src_eog	270	T antigen	Thomsen-Fridenreich antigen	exact
src_eog	270	T antigen	TF antigen	abbreviation
src_eog	271	teichoic acid	teichoic acid polymer	exact
src_eog	272	terminal fucose	terminal Fuc residue	exact
src_eog	273	terminal galactose	terminal Gal residue	exact
src_eog	275	terminal mannose	terminal Man	exact
src_eog	276	terminal N-acetylgalactosamine	terminal GalNAc residue	exact
src_eog	277	terminal N-acetylglucosamine	terminal GlcNAc residue	exact
src_eog	278	terminal sialic acid	Terminal Sia residue	exact
src_eog	279	terminal α1-6 mannose	terminal α1–6Man	exact
src_eog	281	terminal α-linked-galactose	terminal α-galactose residue	exact
src_eog	286	Tn antigen	Thomsen-Nouveau antigen	exact
src_eog	288	triantennary N-glycan	tri-antennary N-glycan	exact
src_eog	289	tri-mannose / O-linked	tri-Man-Ser/Thr	exact
src_eog	290	truncated core 1 O-glycan	truncated core 1 structure	exact
src_eog	293	truncated O-glycan	incomplete O-glycan	exact
src_eog	294	type-1 unit	type-1 chain repeating unit	exact
src_eog	295	type-2 unit	type-2 chain repeating unit	exact
src_eog	302	α(1-3)-linked N-acetylgalactosamine	α(1-3)GalNAc	exact
src_eog	303	α(1-6)-linked glucose branch	periodic α1–6Glc branch	narrow
src_eog	304	α2-3 sialic acid branch	α2-3Sia branch	exact
src_eog	305	α2-3 sialyllactosamine	α2-3sialyllactosamines	exact
src_eog	306	α-Gal epitope	αGal	abbreviation
src_eog	312	β-(1,3)-glucan	β-1,3-glucan	exact
src_eog	313	β-(1,4)-glucan	β-1,4-glucans	exact
src_eog	316	β2-linked N-acetylglucosamine	β1-2GlcNAc	exact
src_eog	317	β4-linked N-acetylgalactosamine	β1-4GalNAc	exact
src_eog	318	β4-linked N-acetylglucosamine	β1-4GlcNAc	exact
src_eog	319	β6-linked N-acetylglucosamine	β1-6GlcNAc	exact
src_eog	322	β-linked galactose	β-linked Gal	exact
src_glycoepitope	58	Beta Galactose	Bata Galactose	exact
src_glycoepitope	125	Blood Group A Type 1 - difucosyl	Blood Group A Type 1 (difucosyl)	exact
src_glycoepitope	126	Blood Group A Type 2 - difucosyl	Blood Group A Type 2 (difucosyl)	exact
src_glycomotif_ccrc	0	LN	LN, N-acetyllactosamine	ignore
src_glycomotif_ccrc	1	LN2	LN2, I antigen	ignore
src_glycomotif_ccrc	6	T antigen	T or TF antigen	ignore
src_glycomotif_ccrc	13	LacdiNAc	LDN,  LacdiNAc	ignore
src_glycomotif_ccrc	32	6-Sialyl-GalNAc	6-Sialyl-GalNAc or 6-Sialyl LN	ignore
src_glycomotif_ccrc	88	GT1a-alpha	GT1aa	exact
src_glycomotif_ccrc	91	GQ1a-alpha	GQ1aa	exact
src_glycomotif_ccrc	93	GQ1b-alpha	GQ1ba	exact
src_glycomotif_ccrc	96	GP1c-alpha	GP1ca	exact
src_glycomotif_ccrc	97	GH1c-alpha	GH1ca	exact
src_glycomotif_gdv	2	Lewis b	Lewis b (Leb)	ignore
src_glycomotif_gdv	3	Blood group A2 - A-associated H type 3 chain	Blood group A2 (A-associated H type 3)	exact
src_glycomotif_gdv	6	GL-6 fucosylated	GL-6 fucosylated (globoH)	ignore
src_glycomotif_gdv	9	Blood group H - type 1 chain	Blood group H (type 1)	exact
src_glycomotif_gdv	10	Blood group H - Lewis Y-associated type 2 chain	Blood group H (type 2)  (Lewis Y)	exact
src_glycomotif_gdv	11	Lewis b	Lewis b (Lewis b)	ignore
src_glycomotif_gdv	12	Lewis y	Lewis y (Lewis Y)	ignore
src_glycomotif_gdv	13	Blood group H - type 2 chain	Blood group H (type 2)	exact
src_glycomotif_gdv	14	Blood group B - Lewis Y-associated type 1 chain	Blood group B (type 1)  (B-Lewis Y)	exact
src_glycomotif_gdv	15	Blood group B - type 4 chain	Blood group B (type 4)	exact
src_glycomotif_gdv	21	Pk antigen	Pk antigen (Gb3, globotriaosylceramide)	ignore
src_glycomotif_gdv	25	T antigen	T (also TF)  antigen	ignore
src_glycomotif_gdv	35	SSEA-1	Lewis x   (SSEA-1)	ignore
src_glycomotif_gdv	40	Type 2 LN2	Type 2 LN2 (''I'' antigen)	ignore
src_glycomotif_gdv	41	Type 2 LN	Type 2 LN (N-acetyllactosamine)	ignore
src_glycomotif_gdv	42	3-Sulfo-Lewis a	3-Sulfo-Lewis a (3'-Sulfo Lewis a)	ignore
src_glycomotif_gdv	43	3-Sulfo-Lewis x	3-Sulfo-Lewis x (3-sulfo LewisX)	ignore
src_glycomotif_gdv	54	Blood group ! - Lewis Y-associated type 2 chain	Blood group A (type 2)  (A-Lewis Y)	exact
src_glycomotif_gdv	60	Globoside	Globoside(P antigen)  (Gb4)	ignore
src_glycomotif_gdv	62	Fucosylated LDN	Fucosylated LDN (LDNF)	ignore
src_glycomotif_gdv	69	LacdiNAc	LacdiNAc (LDN)	ignore
src_glycomotif_gdv	77	Lactotriaosylceramide	Glucosylceramide	related
src_glycomotif_gdv	78	Lactotriaosylceramide	Lactotriaosylceramide (LC3)	ignore
src_glycomotif_gdv	80	6,6'-bissulfo Lewis x	6,6-bisSulfo-Lewis x (6,6'-bissulfo Lewis x )	ignore
src_glycomotif_gdv	81	6-Sulfo-sialyl Lewis x	6-Sulfo-sialyl Lewis x (6-sulfo SLewis x)	ignore
src_glycomotif_gdv	84	GQ1b-alpha	GQ1ba	exact
src_glycomotif_gdv	87	GT1a-alpha	GT1aa	exact
src_glycomotif_gdv	91	GL-7 globoseries ganglioside	GL-7 globoseries ganglioside (SSEA-4)	ignore
src_glycomotif_gdv	94	cisGM1	cisGM1 (GM1b)	ignore
src_glycomotif_gdv	96	6-Sulfo-sialyl Lewis x	6-Sulfo-sialyl Lewis x (6-sulfo SLex)	ignore
src_glycomotif_gdv	97	Sialyl Lewis x	Sialyl Lewis x (SLex)	ignore
src_glycomotif_gdv	104	3-Sialyl-LN type 2	3-Sialyl-LN (type 2)	exact
src_glycomotif_gdv	107	6-sialyl-6-sulfo LN	2,6-sialyl-Sulfo-LN (6-sialyl-6-sulfo LN)	ignore
src_glycomotif_gdv	111	6-Sialyl-GalNAc	6-Sialyl-GalNAc or 6-Sialyl LN (type 1 or 2)	ignore
src_glycomotif_gdv	112	GQ1a-alpha	GQ1aa	exact
src_glycomotif_gdv	113	GH1c-alpha	GH1ca	exact
src_glycomotif_gdv	116	GD1	GD1 (GD1c)	ignore
src_glycomotif_ggm	0	Type 2 LN	N-acetyllactosamine type 2	exact
src_glycomotif_ggm	1	Type 2 LN2	i antigen	broad
src_glycomotif_ggm	7	T antigen	TF antigen	exact
src_glycomotif_ggm	13	a-Gal antigen	alpha-Gal antigen	exact
src_glycomotif_ggm	14	LacdiNAc	LDN	abbreviation
src_glycomotif_ggm	15	Fucosylated LDN	LDNF	abbreviation
src_glycomotif_ggm	16	Lewis x	Lex	abbreviation
src_glycomotif_ggm	16	Lewis x	SSEA-1	related
src_glycomotif_ggm	16	Lewis x	Le^x	exact
src_glycomotif_ggm	17	Lewis y	Ley	abbreviation
src_glycomotif_ggm	17	Lewis y	Le^y	exact
src_glycomotif_ggm	18	Lewis a	Lea	abbreviation
src_glycomotif_ggm	18	Lewis a	Le^a	exact
src_glycomotif_ggm	19	Lewis b	Leb	abbreviation
src_glycomotif_ggm	19	Lewis b	Le^b	exact
src_glycomotif_ggm	20	Sialyl Lewis x	Slex	abbreviation
src_glycomotif_ggm	20	Sialyl Lewis x	SLex	abbreviation
src_glycomotif_ggm	20	Sialyl Lewis x	SLe^x	abbreviation
src_glycomotif_ggm	21	Sialyl Lewis a	Slea	abbreviation
src_glycomotif_ggm	21	Sialyl Lewis a	CA19-9 antigen	related
src_glycomotif_ggm	21	Sialyl Lewis a	SLea	abbreviation
src_glycomotif_ggm	21	Sialyl Lewis a	SLe^a	abbreviation
src_glycomotif_ggm	22	6'-Sulfo-sialyl Lewis x	6'-Sulfo Sialyl Lewis x	exact
src_glycomotif_ggm	22	6'-Sulfo-sialyl Lewis x	6'-sulfo SLex	abbreviation
src_glycomotif_ggm	22	6'-Sulfo-sialyl Lewis x	6'-sulfo SLe^x	abbreviation
src_glycomotif_ggm	23	2,6-sialyl-Sulfo-LN	6-sialyl-6-sulfo LN	exact
src_glycomotif_ggm	24	6-Sulfo-sialyl Lewis x	6-Sulfo Sialyl Lewis x	exact
src_glycomotif_ggm	24	6-Sulfo-sialyl Lewis x	6-sulfo SLex	abbreviation
src_glycomotif_ggm	24	6-Sulfo-sialyl Lewis x	6-sulfo SLe^x	abbreviation
src_glycomotif_ggm	25	6,6'-bisSulfo-Lewis x	6,6'-bissulfo Lex	abbreviation
src_glycomotif_ggm	25	6,6'-bisSulfo-Lewis x	6,6'-Disulfo Sialyl Lewis x	related
src_glycomotif_ggm	25	6,6'-bisSulfo-Lewis x	6,6'-bissulfo Le^x	abbreviation
src_glycomotif_ggm	26	3'-Sulfo-Lewis x	3'-Sulfo Lewis x	exact
src_glycomotif_ggm	26	3'-Sulfo-Lewis x	3'-sulfo Lex	abbreviation
src_glycomotif_ggm	26	3'-Sulfo-Lewis x	3'-sulfo Le^x	abbreviation
src_glycomotif_ggm	27	3'-Sulfo-Lewis a	3'-Sulfo Lewis a	exact
src_glycomotif_ggm	27	3'-Sulfo-Lewis a	3'-Sulfo Lea	abbreviation
src_glycomotif_ggm	27	3'-Sulfo-Lewis a	3'-Sulfo Le^a	abbreviation
src_glycomotif_ggm	28	Lex-Lex	Le^x-Le^x	exact
src_glycomotif_ggm	29	SDLex	SDLe^x	exact
src_glycomotif_ggm	32	6-Sialyl-GalNAc	6-Sialyl LN (type 1)	related
src_glycomotif_ggm	32	6-Sialyl-GalNAc	6-Sialyl LN (type 2)	related
src_glycomotif_ggm	36	Blood group A (type 2) - Lewis y	A-Ley	abbreviation
src_glycomotif_ggm	36	Blood group A (type 2) - Lewis y	A-Le^y	abbreviation
src_glycomotif_ggm	42	Blood group H (type 2) - Lewis y	H-Ley	abbreviation
src_glycomotif_ggm	42	Blood group H (type 2) - Lewis y	H-Le^y	abbreviation
src_glycomotif_ggm	43	Blood group B (type 1) - Lewis b	B-Leb	abbreviation
src_glycomotif_ggm	43	Blood group B (type 1) - Lewis b	B-Le^b	abbreviation
src_glycomotif_ggm	44	Blood group A (type 1) - Lewis b	A-Leb	abbreviation
src_glycomotif_ggm	44	Blood group A (type 1) - Lewis b	A-Le^b	abbreviation
src_glycomotif_ggm	47	Sda/CT antigen	Sd^a/CT antigen	exact
src_glycomotif_ggm	48	SLex Core 2 O-glycan	SLe^x Core 2 O-glycan	exact
src_glycomotif_ggm	49	Diphosphorylated Man6	Diphosphorylated Man_6	exact
src_glycomotif_ggm	52	O-Mannose Lex	O-Mannose Le^x	exact
src_glycomotif_ggm	62	Lactotriaosylceramide	Lc3	abbreviation
src_glycomotif_ggm	62	Lactotriaosylceramide	Lc_3	abbreviation
src_glycomotif_ggm	63	Pk antigen	P^k antigen	exact
src_glycomotif_ggm	63	Pk antigen	Gb3	related
src_glycomotif_ggm	63	Pk antigen	Gb_3	related
src_glycomotif_ggm	63	Pk antigen	globotriaosylceramide	related
src_glycomotif_ggm	65	Has related synonym P antigen. Has related synonym Cytolipin K. Has narrow synonym Globoside I. Has related synonym Globotetraosylceramide.	P antigen	ignore
src_glycomotif_ggm	65	Has related synonym P antigen. Has related synonym Cytolipin K. Has narrow synonym Globoside I. Has related synonym Globotetraosylceramide.	Gb4	ignore
src_glycomotif_ggm	65	Has related synonym P antigen. Has related synonym Cytolipin K. Has narrow synonym Globoside I. Has related synonym Globotetraosylceramide.	Cytolipin K	ignore
src_glycomotif_ggm	65	Has related synonym P antigen. Has related synonym Cytolipin K. Has narrow synonym Globoside I. Has related synonym Globotetraosylceramide.	Globoside I	ignore
src_glycomotif_ggm	65	Has related synonym P antigen. Has related synonym Cytolipin K. Has narrow synonym Globoside I. Has related synonym Globotetraosylceramide.	Globotetraosylceramide	ignore
src_glycomotif_ggm	65	Has related synonym P antigen. Has related synonym Cytolipin K. Has narrow synonym Globoside I. Has related synonym Globotetraosylceramide.	Globoside	ignore
src_glycomotif_ggm	69	Sulfo-isogloboside	Mono-sulfated isoglobotetraosylceramide	related
src_glycomotif_ggm	71	Gb5	Globopentaosylceramide	abbreviation
src_glycomotif_ggm	73	GL-6 fucosylated	globoH	exact
