term,avg_similarity,count,max_similarity
hybrid-type chains,0.920571,1,0.920571
s-tolylglucopyranose,0.920448,1,0.920448
nac-domains,0.920150,1,0.920150
n- and o-linked proteoglycans,0.920009,1,0.920009
oligomannosides,0.917456,1,0.917456
homopolysaccharides and heteropolysaccharides,0.913975,1,0.913975
erythrocyte sialoglycans,0.912793,1,0.912793
core m3 glycans,0.912084,1,0.912084
human-like n-glycans,0.911729,1,0.911729
high mannose-type oligosaccharides,0.911386,1,0.911386
complex-type glycans,0.911158,1,0.911158
complex oligosaccharides,0.910735,1,0.910735
terminal α-galactose residues,0.910256,2,0.932486
core 1 structures,0.909345,2,0.914876
sulfated glucuronosyl glycans,0.908753,1,0.908753
n-acetylglucosamine-containing glycosidic linkages,0.907965,1,0.907965
core m2 o-mannose glycans,0.906837,1,0.906837
l sugar,0.905662,1,0.905662
xyloglucans,0.905449,3,0.935900
β-mannosides,0.904257,1,0.904257
multiantennary n-glycans,0.903468,1,0.903468
primary glycans,0.902926,1,0.902926
pentoses,0.902498,3,0.917695
c2-deoxy sugars,0.901996,1,0.901996
ganglio-series,0.900481,2,0.938031
dolichol oligosaccharides,0.899673,1,0.899673
monosaccharide type,0.898648,2,0.940844
mammalian n-glycans,0.898226,2,0.911779
dolichol-linked sugars,0.896895,1,0.896895
core 1 and 2 o-glycans,0.895634,1,0.895634
heteroxylans,0.894123,3,0.914384
o-acetylated sialic acids,0.893337,3,0.974874
β-n-acetylglucosaminides,0.892787,2,0.967228
gag-binding proteins,0.892142,5,0.955535
linkages,0.890765,1,0.890765
neu5acα2–3gal-containing oligosaccharides,0.890751,1,0.890751
internal carbohydrate motifs,0.890330,1,0.890330
monoglucosylated high-mannose glycans,0.890232,1,0.890232
terminal sequences,0.888961,1,0.888961
fucosylated n-glycans,0.888405,1,0.888405
"β-1,3-glucans",0.886202,3,0.928309
α-helices,0.886076,3,0.935628
glucuronoxylans,0.885679,3,0.904794
g0 molecules,0.884664,1,0.884664
complex-type sialylated glycans,0.884041,1,0.884041
linear or branched oligosaccharide chains,0.883504,1,0.883504
"β-1,4-glucan oligosaccharides",0.882767,1,0.882767
lipid-linked oligosaccharides,0.882663,2,0.954986
paucimannose n-glycans,0.882255,1,0.882255
β-galactose-containing glycoconjugates,0.879383,1,0.879383
β-strands,0.878975,3,0.907009
hs/cs oligosaccharides,0.878844,1,0.878844
β1-6glcnact,0.878505,1,0.878505
unusual structures,0.876735,2,0.899277
hydroxylysines,0.876105,1,0.876105
ganglio-oligosaccharides,0.875368,1,0.875368
hss,0.874325,1,0.874325
o-xylose-linked gag chains,0.873923,1,0.873923
β-glucans,0.873491,6,0.952427
o-mannose-based glycans,0.873148,1,0.873148
chondroitin and heparan sulfate proteoglycans,0.873081,1,0.873081
hexoses,0.872982,5,0.955848
native glycan ligands,0.871442,1,0.871442
sialyl motifs,0.870470,2,0.872491
core 2 glycans,0.870338,1,0.870338
c-mannosylated proteins,0.867277,1,0.867277
mucin type glycans,0.866924,2,0.912611
oligomannose n-glycans,0.866472,4,0.916657
terminal mannose n-glycans,0.861924,1,0.861924
glycopolymers,0.861871,1,0.861871
hyaluronan oligosaccharides,0.860193,9,0.966732
m6p phosphomonoesters,0.857631,2,0.868903
o-glycosylated,0.857243,1,0.857243
type-4 chains,0.857214,1,0.857214
m6p phosphodiesters,0.856001,1,0.856001
glycan-containing structures,0.855894,1,0.855894
sda antigens,0.855689,1,0.855689
tri- and tetra-antennary n-glycans,0.855659,1,0.855659
mammalian-type lipid-linked oligosaccharides,0.855423,1,0.855423
n- and o-glycopeptides,0.853921,1,0.853921
small oligosaccharides,0.853742,2,0.883242
dextrans,0.853219,1,0.853219
glucuronoarabinoxylans,0.853046,1,0.853046
glucosinolates,0.852990,1,0.852990
gal-terminating structures,0.852168,1,0.852168
oligomannosyl n-glycans,0.851033,13,0.994073
monosaccharides and oligosaccharides,0.850896,1,0.850896
high-mannose oligosaccharides,0.849852,1,0.849852
major brain ganglioside structures,0.849589,1,0.849589
extended core-1 o-glycans,0.848486,2,0.864492
outer-core glycans,0.847443,1,0.847443
sialylated milk oligosaccharides,0.847154,2,0.889616
cbms,0.846854,9,0.964821
animal cell glycans,0.846783,1,0.846783
ltas,0.846157,12,0.986473
heparan sulfate glycosaminoglycans,0.844778,1,0.844778
hyalectins,0.843764,1,0.843764
mlgs,0.843679,2,0.920144
type-2 structures,0.843515,3,0.901978
hs glycosaminoglycans,0.842932,1,0.842932
glucosylceramides,0.842404,1,0.842404
s-domains,0.839453,2,0.851400
sialofucosylated glycolipids,0.839326,1,0.839326
glycogenes,0.837519,9,0.981853
terminal sugar sequences,0.837405,1,0.837405
intact sialoglycans,0.836762,1,0.836762
medium size glycans,0.836539,1,0.836539
low-molecular-weight oligosaccharides,0.835443,1,0.835443
sulfate esters,0.835289,2,0.908840
neoglycoconjugates,0.835164,1,0.835164
poly-n-acetyllactosamines,0.835032,2,0.841943
xyloglucan oligosaccharides,0.834111,2,0.851673
basement membrane proteoglycans,0.833755,1,0.833755
sulfatides,0.833268,2,0.921907
diphosphate esters,0.832775,1,0.832775
mucin-type o-glycans,0.832317,7,0.990201
gangliosides,0.831828,51,0.976672
lewis x–containing structures,0.831701,1,0.831701
gt and gh,0.831262,2,0.839509
lipo-oligosaccharides,0.829720,1,0.829720
fucosylated glycans,0.829658,4,0.888967
high-mannose-type n-glycans,0.828826,1,0.828826
rhamnogalacturonan,0.827969,4,0.857281
incomplete o-glycans,0.825931,2,0.831273
alkylacylphosphatidylinositol-anchored glycan,0.825504,1,0.825504
hybrid-type n-glycans,0.825066,3,0.870835
o-galnac-linked sialoglycans,0.824753,2,0.864888
p blood group antigens,0.824566,2,0.849015
β2-linked mannose polymers,0.824059,1,0.824059
high-mannose n-glycans,0.823494,2,0.866543
glcnac-p-man phosphodiesters,0.823390,1,0.823390
glycan determinants,0.823197,1,0.823197
cis-diols,0.823003,1,0.823003
cis-interacting sialylated glycans,0.821101,1,0.821101
nonlabeled glycans,0.820690,1,0.820690
cytokeratins,0.820462,1,0.820462
competitive glycans,0.820452,1,0.820452
c-series gangliosides,0.820302,1,0.820302
lrp2 o-glycans,0.819353,2,0.921119
mannose-conjugated glycodendrimers,0.818927,1,0.818927
o-mannose initiated glycans,0.817786,1,0.817786
sia-glycosides,0.817758,1,0.817758
aglycones,0.816976,1,0.816976
high-mannose glycans,0.815906,2,0.945470
glcnacβ1-4glcnac,0.815675,1,0.815675
core fucose,0.814730,1,0.814730
ppgs,0.814669,1,0.814669
high mannose type,0.814603,1,0.814603
sulfated glycosaminoglycan chains,0.814333,1,0.814333
sialoglycolipids,0.813982,1,0.813982
galβ1-4glc-cer,0.813875,1,0.813875
teichoic acid type,0.813146,1,0.813146
sugar hemiacetals,0.813022,1,0.813022
n- or o-linked glycans,0.812811,1,0.812811
b-blood group oligosaccharides,0.811977,1,0.811977
β-galactosides,0.811096,10,0.988544
animal n- and o-glycans,0.810815,1,0.810815
neu5acα2-6galnacα,0.810521,2,0.813421
galα1-4gal determinants,0.809149,1,0.809149
sulfated glycosaminoglycans,0.808519,9,0.981042
oligomannosidic glycans,0.807795,1,0.807795
α-galnac,0.806939,1,0.806939
β-n-acetylgalactosaminides,0.805773,1,0.805773
neu5acα2-3gal,0.805447,3,0.857360
ganglioside-like glycans,0.803702,1,0.803702
galα1-3galnac,0.803115,1,0.803115
gag segments,0.802767,1,0.802767
slex-containing o-glycan,0.802285,1,0.802285
glycodendrimers,0.801060,3,0.849623
homogalacturonan-containing glycans,0.800544,1,0.800544
arthroseries,0.799968,9,0.974445
pectins,0.799785,8,0.991117
glca-glcnac rus,0.799265,1,0.799265
a-series,0.799025,1,0.799025
simplified core structures,0.798787,1,0.798787
heteropolysaccharides,0.798556,1,0.798556
hybrid-type structures,0.798399,1,0.798399
eukaryotic n-glycans,0.798006,1,0.798006
faxgudfsa,0.795730,1,0.795730
β1-6glcnacts,0.795707,1,0.795707
sialylated glycans,0.795449,13,0.945989
n-glycomes,0.795285,2,0.918419
the steviol glycosides,0.794798,1,0.794798
"β-(1,3)-glucans",0.794218,2,0.824108
o-man glycans,0.792914,9,0.978211
blood group–related structures,0.792855,1,0.792855
human-type terminal glycans,0.792836,1,0.792836
o-linked ks,0.792061,1,0.792061
glycan antigens,0.791156,2,0.791418
arabinoglucuronoxylans,0.791144,1,0.791144
d series of aldoses,0.788527,1,0.788527
opgs,0.788046,10,0.964986
galβ1-3galnacβ1-4gal,0.787279,1,0.787279
transmembrane heparan sulfate proteoglycans,0.787122,1,0.787122
asparagine–n-linked glycans,0.785198,1,0.785198
saccharides,0.785164,1,0.785164
slex-related glycans,0.784279,2,0.898437
n-linked oligomannose-type glycans,0.783086,1,0.783086
aldohexose,0.781786,1,0.781786
complex sialylated n-glycans,0.778235,1,0.778235
interglycosidic linkages,0.777824,2,0.801235
core 2 o-galnac glycans,0.777196,7,0.937970
chondroitin/dermatan sulfates,0.776774,2,0.904541
oligomannose,0.776139,3,0.821520
aggrecan family,0.775769,2,0.929701
β-gal-containing disaccharides,0.774240,1,0.774240
oligomannose-type n-glycans,0.774134,5,0.946279
heparan sulfate proteoglycans,0.773418,6,0.966896
gsls,0.772281,63,0.987077
neu5ac sialic acids,0.771569,2,0.869101
partially methylated monosaccharides,0.770974,2,0.775241
eps types,0.770766,1,0.770766
β-glucan,0.768041,2,0.797898
sulfated mucin type glycans,0.767380,1,0.767380
homogalacturonan,0.767234,6,0.914067
biantennary n-glycans,0.764579,6,0.890152
sia ligands,0.764567,1,0.764567
egf domains,0.762690,1,0.762690
o-mannose glycans,0.762538,16,0.948973
hybrid and complex glycans,0.762090,3,0.823889
levan type fructans,0.761618,1,0.761618
α-linked mannose,0.761538,2,0.954942
β-glucosides,0.761329,4,0.988414
gag family,0.760607,1,0.760607
sphingoid bases,0.759107,3,0.893490
nulos,0.758618,20,0.987049
gm1 pentasaccharide,0.758485,1,0.758485
sialyl-6-sulfo-lewis x,0.757887,1,0.757887
hnk-1-containing glycosphingolipids,0.757523,1,0.757523
eukaryotic glycosaminoglycans,0.757453,1,0.757453
chondroitin synthases,0.756663,1,0.756663
mannose-rich glycans,0.753793,1,0.753793
cadherin domains,0.753661,1,0.753661
gipcs,0.750999,6,0.875323
tumor-associated glycans,0.750429,1,0.750429
type-1 units,0.749832,2,0.779495
isoprenoid-linked monosaccharides,0.748216,1,0.748216
wtas,0.748042,16,0.987206
glycoconjugate structures,0.747612,2,0.800855
glucans,0.747266,6,0.960819
type i transmembrane glycoproteins,0.746462,1,0.746462
β-galnac,0.746207,1,0.746207
chondroitin chains,0.745907,5,0.979234
terminal saccharides,0.745806,2,0.947142
complex n-glycans,0.744601,14,0.961679
fucosylated oligosaccharides,0.744586,1,0.744586
core-2 o-glycans,0.744332,1,0.744332
n-acetylated hexoses,0.743723,1,0.743723
hs proteoglycans,0.743690,15,0.979801
mammalian glycoproteins,0.743358,1,0.743358
hrgps,0.743208,1,0.743208
group c,0.743169,1,0.743169
aldoses,0.742856,4,0.913440
isolated disaccharides,0.741270,1,0.741270
sia family,0.740742,1,0.740742
sialic acids,0.740568,53,0.991551
hybrid or complex glycans,0.739405,1,0.739405
cspgs,0.739334,3,0.767031
thrombospondin-type repeats,0.739058,1,0.739058
chain terminators,0.738661,1,0.738661
sulfated gags,0.738537,11,0.935608
cdgs,0.737907,4,0.929867
fucose-carrying pamps,0.736570,1,0.736570
ketoses,0.736479,5,0.917689
noncellulosic matrix polysaccharides,0.735693,1,0.735693
gd1b,0.735369,1,0.735369
adamantyl groups,0.734725,1,0.734725
core m1 and m2 o-mannose glycans,0.733956,1,0.733956
core 2 and 4 o-galnac glycans,0.733844,1,0.733844
o-linked glc-gal disaccharides,0.733650,1,0.733650
mannose-carrying pamps,0.733541,1,0.733541
mucin-type,0.733204,1,0.733204
neoglycoproteins,0.733050,2,0.789531
rg-ii,0.732881,9,0.814194
galnac (a),0.731335,2,0.761935
fucosyl residues,0.731237,1,0.731237
endoglycan,0.731217,1,0.731217
deoxyhexoses,0.730820,2,0.884069
ser/thr-linked glycans,0.730820,2,0.905735
complex glycans,0.730749,21,0.956922
hexnac2-3 motifs,0.730634,1,0.730634
paucimannosidic n-linked glycans,0.730400,1,0.730400
6-o-sulfated disaccharides,0.729750,1,0.729750
paucimannose type glycans,0.729605,1,0.729605
e-pha-binding glycans,0.728888,1,0.728888
large polymannosyl glycans,0.728756,1,0.728756
long-chain extracellular polysaccharides,0.726440,1,0.726440
charged polysaccharides,0.726434,1,0.726434
mannans,0.725598,10,0.969990
α-galnac residues,0.725408,1,0.725408
oligomannose-type,0.724745,2,0.936656
loops,0.724499,2,0.792005
core 1 o-glycans,0.723964,5,0.945907
hspgs,0.723600,1,0.723600
truncated n-glycans,0.723507,1,0.723507
chondroitin,0.723082,19,0.913584
n- and o-glycoproteins,0.722741,1,0.722741
glcβ1-4glc-ome,0.722405,1,0.722405
p-blood group,0.721891,1,0.721891
s-linked glcp,0.721768,1,0.721768
core 3 o-galnac glycans,0.721246,2,0.734930
complex,0.721197,12,0.943743
extensively modified glycosaminoglycan chains,0.720397,1,0.720397
mannose ring,0.720201,1,0.720201
undegraded oligosaccharides,0.719519,1,0.719519
lacto-series,0.719448,1,0.719448
glycans with free-reducing termini,0.719375,1,0.719375
galnac,0.719369,7,0.944643
ac-5sglcnac,0.719098,1,0.719098
tetrasaccharide,0.717481,3,0.911399
glcnr-phosphatidylinositols,0.717288,1,0.717288
phosphacan,0.716749,1,0.716749
hybrid n-glycans,0.716489,1,0.716489
collagens,0.713522,1,0.713522
fucα1-2gal,0.713320,3,0.728589
galactosylceramide,0.713266,1,0.713266
globo-series,0.713121,2,0.948338
conjugated sialylated and fucosylated glycans,0.712624,1,0.712624
membrane-bound sialoglycans,0.711841,1,0.711841
xylans,0.711441,5,0.923396
sulfated polysaccharides,0.710729,1,0.710729
fish egg glycoproteins,0.710055,2,0.803434
heparin oligosaccharides,0.709859,7,0.988498
ks chains,0.709309,1,0.709309
galactose units,0.706848,1,0.706848
d and l isomers,0.706335,1,0.706335
complex glycan structures,0.706195,1,0.706195
o-pss,0.705641,3,0.958250
inositolphosphoceramide-anchored glycan,0.705430,1,0.705430
more complex gsls,0.705349,1,0.705349
group i,0.704617,1,0.704617
periodic α1–6glc branches,0.704387,1,0.704387
o-linked glcnac,0.702971,2,0.717921
glcnac-p-t,0.700671,2,0.718675
hmos,0.700307,15,0.872389
terminal α1–6man,0.700266,1,0.700266
sialyl-lewis-related structures,0.700200,1,0.700200
uronic acids,0.699578,2,0.904898
st6gal-i,0.699025,1,0.699025
o-linked glycan structures,0.698689,1,0.698689
o-linked sugars,0.698297,1,0.698297
type-2 units,0.698016,3,0.905456
galnacβ1-4glcnac,0.695569,1,0.695569
neoglycans,0.695494,1,0.695494
glcnac-terminating glycoconjugates,0.695302,1,0.695302
o-galnac glycans,0.694667,71,0.987145
sulfated gag-binding proteins,0.694620,1,0.694620
invertebrate glycoproteins,0.694604,1,0.694604
n- and o-glycans,0.694505,11,0.841856
mucin-containing glycoproteins,0.694254,1,0.694254
sialoglycans,0.693683,23,0.966639
repeating disaccharides,0.693385,1,0.693385
syndecans,0.693347,6,0.897748
sialyl lewis x,0.693262,1,0.693262
mannogen,0.691073,1,0.691073
hs chains,0.690470,13,0.966044
pnag,0.690461,7,0.929592
primary and secondary cell wall heteroxylans,0.688830,1,0.688830
triple helical polypeptides,0.688544,1,0.688544
mucin structures,0.688294,1,0.688294
mannose functional groups,0.688156,1,0.688156
terminal sugars,0.688085,3,0.867326
sialoglycan polymers,0.688046,1,0.688046
tri- or tetrasaccharide repeats,0.687703,1,0.687703
secretory pathway–type glycans,0.686891,1,0.686891
β anomers,0.686434,1,0.686434
incomplete or truncated glycans,0.685843,1,0.685843
o-glcnac,0.685126,95,0.986809
glucose-containing glycans,0.684731,1,0.684731
complex gangliosides,0.684453,2,0.721693
arthro-series,0.683982,1,0.683982
sulfated tyrosines,0.683740,1,0.683740
n-glycan-containing glycoproteins,0.683684,1,0.683684
classes of glycans,0.682986,1,0.682986
homogalacturonans,0.682686,2,0.880665
sialylated fucosylated lactosamines,0.682540,1,0.682540
rare monosaccharides,0.682318,1,0.682318
gag chain,0.681987,6,0.970188
αglcts,0.681459,1,0.681459
ppglcnacts,0.681162,1,0.681162
mammalian glycans,0.680761,4,0.803238
idoa2s,0.680379,3,0.706810
slrps,0.679891,4,0.799936
n-linked branched octosaccharide,0.676927,1,0.676927
"β-1,4/β-1,3 glucans",0.676043,1,0.676043
substituted galacturonan,0.675842,1,0.675842
histidine-rich glycoproteins,0.675505,2,0.970703
o-glcnacylated proteins,0.675359,5,0.856269
sialyl lewis x–capped glycan,0.673766,1,0.673766
glcaβ1-4glcnacα1-4,0.673333,1,0.673333
b-series,0.671959,3,0.812971
intact glycopeptides,0.671522,3,0.872537
pseudopeptidoglycan,0.670322,1,0.670322
truncated glycans,0.670038,1,0.670038
specific classes of glycans,0.670024,1,0.670024
"sialylated, fucosylated glycans",0.669122,1,0.669122
lewis-type structures,0.668791,1,0.668791
idoa rings,0.668727,1,0.668727
lecticans,0.667847,3,0.854440
gram-negative,0.667628,1,0.667628
agxs,0.667599,1,0.667599
o-linked glucose residues,0.667245,2,0.701102
neu5acα2-6hexnac,0.666360,1,0.666360
cd24psl,0.665954,1,0.665954
complex and hybrid n-glycans,0.664659,3,0.841049
major glycan classes,0.662881,3,0.744577
milk oligosaccharides,0.661775,9,0.939077
core-1 o-glycans,0.661297,2,0.800430
galactose-containing ligands,0.660737,1,0.660737
parasite gbps,0.660705,1,0.660705
truncated o-glycans,0.660439,1,0.660439
o-mannose moieties,0.659935,1,0.659935
gal-man-po4- repeat unit,0.659087,1,0.659087
dp4-dp20,0.659084,1,0.659084
β-linked galactose,0.658381,2,0.672215
polysia chains,0.657153,2,0.773035
complex-type n-glycans,0.656900,4,0.834293
man,0.655849,3,0.890227
gag chains,0.655833,21,0.981868
glycophospholipid anchors,0.654791,1,0.654791
egf-like repeats,0.654693,3,0.687000
cspg core proteins,0.653763,1,0.653763
d-myo-inositol,0.653752,1,0.653752
pg repeats,0.653365,3,0.868976
galactomannans,0.653280,2,0.854197
cycling monosaccharides,0.653011,1,0.653011
fc n-glycans,0.652958,1,0.652958
poly-lacnac,0.651407,3,0.869617
novel glycans,0.649941,2,0.847540
trans-glycosidic linkages,0.649683,1,0.649683
phosphorylcholine-modified structures,0.649440,1,0.649440
dermatan sulfate proteoglycans,0.648952,1,0.648952
sulfated n-glycans,0.648415,2,0.791037
polyfucose branches,0.648181,1,0.648181
undecaprenol diphosphate-linked intermediates,0.646512,1,0.646512
legionaminic acids,0.646432,2,0.899070
pyruvylated,0.646318,1,0.646318
complex-type glycan,0.646231,1,0.646231
monosaccharide-labeled glycoproteins,0.645982,1,0.645982
o-linked sialoglycans,0.644949,2,0.717154
hs glcnac,0.644785,1,0.644785
fucose moiety,0.644101,2,0.667619
capsular polysaccharides,0.643525,8,0.874354
sulfated glycans,0.642718,3,0.927018
9-o-acetylated sias,0.642648,1,0.642648
n-linked hexasaccharide,0.641204,1,0.641204
gangliosidoses,0.640835,1,0.640835
gt1b,0.640529,3,0.888934
core oligosaccharide,0.639854,5,0.866506
high-mannose or paucimannose glycans,0.638796,1,0.638796
o-galnac-glycans,0.638369,2,0.695569
cd24s10l,0.638148,1,0.638148
c18–c22 species,0.637817,1,0.637817
high mannose glycans,0.636921,1,0.636921
α-d-mannosyl fullerenes,0.635448,2,0.708910
l-selectin ligands,0.634887,1,0.634887
large glycoconjugates,0.634737,1,0.634737
gpi-synthesis inhibitors,0.634419,1,0.634419
human sialylated biantennary n-glycans,0.632956,1,0.632956
sialylated and/or sulfated determinants,0.632868,1,0.632868
the unusual polysialic acid chains,0.632558,1,0.632558
gq1b,0.632457,1,0.632457
brain gangliosides,0.632149,1,0.632149
oligosaccharides and polysaccharides,0.631172,1,0.631172
2-6-branch,0.630501,1,0.630501
archaellins,0.630155,6,0.928937
free oligosaccharides,0.630099,1,0.630099
complex or hybrid n-glycans,0.629678,1,0.629678
cpss,0.628844,12,0.942086
pathogen-derived glycans,0.628123,1,0.628123
n-linked glycosylation,0.627829,3,0.763110
protein-linked gpis,0.627659,1,0.627659
paucimannose glycans,0.627581,3,0.882395
common host glycan structures,0.626944,1,0.626944
modified glycans,0.626131,1,0.626131
o-linked β-n-acetylglucosamine,0.624905,1,0.624905
low molecular weight glycans,0.624171,1,0.624171
"β-1,3-glucan oligosaccharides",0.623780,3,0.855619
acinetaminic acid,0.623755,1,0.623755
linear and branched glycan chains,0.623504,2,0.705748
n- and o-linked glycans,0.622134,4,0.809989
syndecan family,0.621572,1,0.621572
1-4-linked β-d-glcnac,0.621243,1,0.621243
mucin-type o-glycoproteins,0.620828,1,0.620828
keratan sulfate chains,0.620122,2,0.654314
polysaccharide repeating units,0.619730,1,0.619730
glucuronic acid,0.618943,1,0.618943
exopolysaccharides,0.618564,1,0.618564
chito-oligosaccharins,0.618119,2,0.660453
β1-4galnac,0.617962,1,0.617962
gbp,0.617570,12,0.883982
sulfated α1-3fuc-based linear polymers,0.616797,1,0.616797
"β-1,4-mannuronate moieties",0.615623,1,0.615623
sulfated subunits,0.615538,1,0.615538
secretory pathway–type o-glycans,0.615432,1,0.615432
cis-glycosidic linkages,0.614618,3,0.794639
disialyl-lewis a,0.614592,1,0.614592
serglycin,0.614255,1,0.614255
hyaladherins,0.614001,2,0.938072
o-xylose-linked,0.613069,1,0.613069
β-sheets,0.612588,2,0.833322
secondary wall xylans,0.612209,1,0.612209
mannan,0.611956,1,0.611956
polysaccharide a,0.611824,1,0.611824
blood group antigens,0.611793,1,0.611793
major classes of eukaryotic glycans,0.611411,1,0.611411
"β-1,4-glucans",0.611408,1,0.611408
complex o-glycans,0.611309,2,0.687871
type-1,0.611271,3,0.826768
glypicans,0.611253,6,0.909686
gal residues,0.611043,1,0.611043
xylosides,0.610993,4,0.948209
microbial glycans,0.609907,3,0.715800
proline/hydroxyproline-rich proteoglycans,0.609564,2,0.792733
glycosylated polymers,0.609419,1,0.609419
nonulosonic acids,0.609002,6,0.911849
sia-containing ligands,0.608864,1,0.608864
mannosylated lipoarabinomannan,0.608492,1,0.608492
rhamnogalacturonan-i,0.608369,2,0.724516
α(1-3)galnac,0.608163,1,0.608163
neu5acα2–3gal-terminated glycans,0.607926,1,0.607926
gram-positive,0.607868,1,0.607868
major glycan families,0.607805,1,0.607805
host-derived mucosal glycans,0.607354,1,0.607354
gpi anchors,0.607204,4,0.796698
human gangliosides,0.607002,1,0.607002
high-mannose and paucimannose n-glycans,0.606649,1,0.606649
glycogen,0.605899,8,0.779216
galactose-containing glycolipids,0.605452,1,0.605452
mammalian n- and o-glycan structures,0.604694,1,0.604694
maltose,0.604461,1,0.604461
manβ1-4glc-cer,0.603599,1,0.603599
human o-galnac glycans,0.603502,1,0.603502
complex carbohydrates,0.603444,1,0.603444
galnacβ1-3galα1-4galβ1-4glc,0.603371,2,0.804650
terminal n-acetylglucosamine residues,0.603200,4,0.639113
schiff bases,0.602875,2,0.745740
yeast glycans,0.602526,1,0.602526
nucleotide sugar donors,0.601979,1,0.601979
aggrecan,0.601671,2,0.611180
large and complex glycans and glycoconjugates,0.601624,1,0.601624
paucimannose oligosaccharides,0.601298,2,0.880424
gsl series,0.601203,2,0.913234
pure glycans,0.600750,2,0.704024
glycosylphosphatidylinositols,0.600699,2,0.638910
antigenic glycan motifs,0.599903,1,0.599903
teichoic acids,0.599422,2,0.677144
core 1 o-galnac glycans,0.599256,3,0.842413
galβ1-4glcnac,0.598090,4,0.977007
α-dg,0.597772,1,0.597772
pyranose ring,0.597537,2,0.819692
glcnac pentasaccharide,0.596914,1,0.596914
pentasaccharide,0.596427,3,0.707646
α anomers,0.595682,1,0.595682
mag,0.595292,2,0.830153
structural glycoproteins,0.595232,1,0.595232
man-6-p,0.595011,2,0.650479
manα1-3man disaccharides,0.594900,1,0.594900
paucimannosidic glycans,0.594545,1,0.594545
nuclear o-glycans,0.594519,1,0.594519
phosphorylcholine-modified gag-like structures,0.593962,1,0.593962
o-man,0.593956,3,0.785343
monosaccharides and disaccharides,0.593826,1,0.593826
acyl chains,0.593529,1,0.593529
glycoglycerolipids,0.592880,5,0.773996
oral mucins,0.591564,1,0.591564
complex type n-glycans,0.591224,1,0.591224
lysm family,0.591189,1,0.591189
multiantennary complex-type n-glycans,0.591079,1,0.591079
terminal gal/galnac residues,0.591014,1,0.591014
clustered sialoglycans,0.590020,1,0.590020
o-fucose glycans,0.589793,8,0.815795
n-glycan classes,0.589780,1,0.589780
cpss and epss,0.586803,3,0.690720
